id,institutionCode,collectionCode,ownerInstitutionCode,collectionID,basisOfRecord,occurrenceID,catalogNumber,otherCatalogNumbers,higherClassification,kingdom,phylum,class,order,family,scientificName,taxonID,scientificNameAuthorship,genus,subgenus,specificEpithet,verbatimTaxonRank,infraspecificEpithet,cultivarEpithet,tradeName,taxonRank,identifiedBy,dateIdentified,identificationReferences,identificationRemarks,taxonRemarks,identificationQualifier,typeStatus,recordedBy,recordNumber,eventDate,eventtime,year,month,day,startDayOfYear,endDayOfYear,verbatimEventDate,occurrenceRemarks,habitat,behavior,vitality,fieldNumber,eventID,informationWithheld,dataGeneralizations,dynamicProperties,associatedSequences,associatedTaxa,reproductiveCondition,establishmentMeans,lifeStage,sex,individualCount,samplingProtocol,preparations,locationID,continent,waterBody,islandGroup,island,country,countryCode,stateProvince,county,municipality,locality,locationRemarks,decimalLatitude,decimalLongitude,geodeticDatum,coordinateUncertaintyInMeters,verbatimCoordinates,georeferencedBy,georeferenceProtocol,georeferenceSources,georeferenceVerificationStatus,georeferenceRemarks,minimumElevationInMeters,maximumElevationInMeters,minimumDepthInMeters,maximumDepthInMeters,verbatimDepth,verbatimElevation,disposition,language,recordEnteredBy,modified,rights,rightsHolder,accessRights,recordID,references
660384,USDA-ARS,BBSL,,8011f62e-ea94-4fcd-b545-9ad1060d1a3f,PreservedSpecimen,658563988,BBSLID828966,,,Animalia,Arthropoda,Insecta,Hymenoptera,Apidae,Anthophora porterae,6135,"Cockerell, 1900",Anthophora,,porterae,,,,,Species,T.L. Griswold 2009,,,,,,,D. Rolfs,,2007-05-11,,2007.0,5.0,11.0,131.0,,2007-5-11,,,,,,,,,,,,,,,,,,,,,,,,United States,,Washington,Yakima,,"Yakima Training Center, 19.5 km N",,46.8285,-120.3612,,,"46.82850, -120.36120",,,,,,644.0,,,,,,,,,2023-06-20 14:37:21,http://creativecommons.org/licenses/by/4.0/,,,067bd8b9-b41e-4863-9277-da68d3e3c2a1,https://library.big-bee.net/portal/collections/individual/index.php?occid=660384
660385,USDA-ARS,BBSL,,8011f62e-ea94-4fcd-b545-9ad1060d1a3f,PreservedSpecimen,658563989,BBSLID828961,,,Animalia,Arthropoda,Insecta,Hymenoptera,Apidae,Anthophora porterae,6135,"Cockerell, 1900",Anthophora,,porterae,,,,,Species,T.L. Griswold 2009,,,,,,,D. Rolfs,,2007-04-28,,2007.0,4.0,28.0,118.0,,2007-4-28,,,,,,,,,,,,,,,,,,,,,,,,United States,,Washington,Yakima,,"Black Rock Valley, 6.5 air km NE",,46.5835,-119.8668,,,"46.58350, -119.86680",,,,,,510.0,,,,,,,,,2023-06-20 14:37:21,http://creativecommons.org/licenses/by/4.0/,,,03e44be0-207f-4795-a56b-4b2091fdc499,https://library.big-bee.net/portal/collections/individual/index.php?occid=660385
660397,USDA-ARS,BBSL,,8011f62e-ea94-4fcd-b545-9ad1060d1a3f,PreservedSpecimen,658564001,92707,,,Animalia,Arthropoda,Insecta,Hymenoptera,Apidae,Anthophora porterae,6135,"Cockerell, 1900",Anthophora,,porterae,,,,,Species,,,,,,,,D. Fielding,,1994-04-19,,1994.0,4.0,19.0,109.0,,1994-4-19,,,,,,,,,,,,,,,,,,,,,,,,United States,,Idaho,Blaine,,Laidlaw Park,,43.29,-113.55,,,"43.29000, -113.55000",,,,,,1615.0,,,,,,,,,2023-06-20 14:37:21,http://creativecommons.org/licenses/by/4.0/,,,a6b3d4f8-c70a-4900-b5ec-931ef93d257e,https://library.big-bee.net/portal/collections/individual/index.php?occid=660397
660398,USDA-ARS,BBSL,,8011f62e-ea94-4fcd-b545-9ad1060d1a3f,PreservedSpecimen,658564002,135012,,,Animalia,Arthropoda,Insecta,Hymenoptera,Apidae,Anthophora porterae,6135,"Cockerell, 1900",Anthophora,,porterae,,,,,Species,,,,,,,,R. Fitts,,1990-04-15,,1990.0,4.0,15.0,105.0,,1990-4-15,,,,,,,,,,,,,,,,,,,,,,,,United States,,Arizona,Mohave,,Lost Spring,,36.1558,-113.3767,,,"36.15580, -113.37670",,,,,,,,,,,,,,,2023-06-20 14:37:21,http://creativecommons.org/licenses/by/4.0/,,,d5c2b93f-ef69-4078-9397-92985951329d,https://library.big-bee.net/portal/collections/individual/index.php?occid=660398
660404,USDA-ARS,BBSL,,8011f62e-ea94-4fcd-b545-9ad1060d1a3f,PreservedSpecimen,658564008,40324,,,Animalia,Arthropoda,Insecta,Hymenoptera,Apidae,Anthophora porterae,6135,"Cockerell, 1900",Anthophora,,porterae,,,,,Species,,,,,,,,T.L. Griswold,,1991-05-12,,1991.0,5.0,12.0,132.0,,1991-5-12,,,,,,,,,,,,,,,,,,,,,,,,United States,,Utah,Emery,,"Gilson Butte, 1.2 mi SSE",,38.5596,-110.6118,,,"38.55960, -110.61180",,,,,,1524.0,,,,,,,,,2023-06-20 14:37:21,http://creativecommons.org/licenses/by/4.0/,,,556fefbb-d365-4916-bca9-dded1219f687,https://library.big-bee.net/portal/collections/individual/index.php?occid=660404
660405,USDA-ARS,BBSL,,8011f62e-ea94-4fcd-b545-9ad1060d1a3f,PreservedSpecimen,658564009,40320,,,Animalia,Arthropoda,Insecta,Hymenoptera,Apidae,Anthophora porterae,6135,"Cockerell, 1900",Anthophora,,porterae,,,,,Species,,,,,,,,T.L. Griswold,,1992-04-29,,1992.0,4.0,29.0,120.0,,1992-4-29,,,,,,,,,,,,,,,,,,,,,,,,United States,,Utah,Emery,,Greasewood Draw,,38.8265,-110.4246,,,"38.82650, -110.42460",,,,,,1310.0,,,,,,,,,2023-06-20 14:37:21,http://creativecommons.org/licenses/by/4.0/,,,f3bbf063-e08d-43b1-b201-fa0a6104cf89,https://library.big-bee.net/portal/collections/individual/index.php?occid=660405
660406,USDA-ARS,BBSL,,8011f62e-ea94-4fcd-b545-9ad1060d1a3f,PreservedSpecimen,658564010,40325,,,Animalia,Arthropoda,Insecta,Hymenoptera,Apidae,Anthophora porterae,6135,"Cockerell, 1900",Anthophora,,porterae,,,,,Species,,,,,,,,T.L. Griswold,,1991-05-09,,1991.0,5.0,9.0,129.0,,1991-5-9,,,,,,,,,,,,,,,,,,,,,,,,United States,,Utah,Emery,,"Green River, 8 mi WNW",,39.0396,-110.2991,,,"39.03960, -110.29910",,,,,,,,,,,,,,,2023-06-20 14:37:21,http://creativecommons.org/licenses/by/4.0/,,,7072cf88-2b51-4f54-ad03-045aa53eff0f,https://library.big-bee.net/portal/collections/individual/index.php?occid=660406
660408,USDA-ARS,BBSL,,8011f62e-ea94-4fcd-b545-9ad1060d1a3f,PreservedSpecimen,658564012,40329,,,Animalia,Arthropoda,Insecta,Hymenoptera,Apidae,Anthophora porterae,6135,"Cockerell, 1900",Anthophora,,porterae,,,,,Species,,,,,,,,T.L. Griswold,,1992-04-15,,1992.0,4.0,15.0,106.0,,1992-4-15,,,,,,,,,,,,,,,,,,,,,,,,United States,,Utah,Wayne,,"Hanksville, 4 air mi N, N airport",,38.43185,-110.71166,,,"38.43185, -110.71166",,,,,,1371.0,,,,,,,,,2023-06-20 14:37:21,http://creativecommons.org/licenses/by/4.0/,,,b1960324-ea3c-4c61-978e-b9b96e7cc716,https://library.big-bee.net/portal/collections/individual/index.php?occid=660408
660409,USDA-ARS,BBSL,,8011f62e-ea94-4fcd-b545-9ad1060d1a3f,PreservedSpecimen,658564013,40330,,,Animalia,Arthropoda,Insecta,Hymenoptera,Apidae,Anthophora porterae,6135,"Cockerell, 1900",Anthophora,,porterae,,,,,Species,,,,,,,,T.L. Griswold,,1991-05-12,,1991.0,5.0,12.0,132.0,,1991-5-12,,,,,,,,,,,,,,,,,,,,,,,,United States,,Utah,Wayne,,"Hanksville, 4 air mi N, N airport",,38.43185,-110.71166,,,"38.43185, -110.71166",,,,,,1371.0,,,,,,,,,2023-06-20 14:37:21,http://creativecommons.org/licenses/by/4.0/,,,e0042222-e038-45ce-9c75-4911992c0594,https://library.big-bee.net/portal/collections/individual/index.php?occid=660409
660414,USDA-ARS,BBSL,,8011f62e-ea94-4fcd-b545-9ad1060d1a3f,PreservedSpecimen,658564018,40319,,,Animalia,Arthropoda,Insecta,Hymenoptera,Apidae,Anthophora porterae,6135,"Cockerell, 1900",Anthophora,,porterae,,,,,Species,,,,,,,,T.L. Griswold,,1992-04-06,,1992.0,4.0,6.0,97.0,,1992-4-6,,,,,,,,,,,,,,,,,,,,,,,,United States,,Utah,Wayne,,"Hanksville, 5 mi N",,38.43758,-110.68933,,,"38.43758, -110.68933",,,,,,1386.0,,,,,,,,,2023-06-20 14:37:21,http://creativecommons.org/licenses/by/4.0/,,,37296016-0199-492d-b8f4-d473c115c4e5,https://library.big-bee.net/portal/collections/individual/index.php?occid=660414
