id,institutionCode,collectionCode,ownerInstitutionCode,collectionID,basisOfRecord,occurrenceID,catalogNumber,otherCatalogNumbers,higherClassification,kingdom,phylum,class,order,family,scientificName,taxonID,scientificNameAuthorship,genus,subgenus,specificEpithet,verbatimTaxonRank,infraspecificEpithet,cultivarEpithet,tradeName,taxonRank,identifiedBy,dateIdentified,identificationReferences,identificationRemarks,taxonRemarks,identificationQualifier,typeStatus,recordedBy,recordNumber,eventDate,eventtime,year,month,day,startDayOfYear,endDayOfYear,verbatimEventDate,occurrenceRemarks,habitat,behavior,vitality,fieldNumber,eventID,informationWithheld,dataGeneralizations,dynamicProperties,associatedSequences,associatedTaxa,reproductiveCondition,establishmentMeans,lifeStage,sex,individualCount,samplingProtocol,preparations,locationID,continent,waterBody,islandGroup,island,country,countryCode,stateProvince,county,municipality,locality,locationRemarks,decimalLatitude,decimalLongitude,geodeticDatum,coordinateUncertaintyInMeters,verbatimCoordinates,georeferencedBy,georeferenceProtocol,georeferenceSources,georeferenceVerificationStatus,georeferenceRemarks,minimumElevationInMeters,maximumElevationInMeters,minimumDepthInMeters,maximumDepthInMeters,verbatimDepth,verbatimElevation,disposition,language,recordEnteredBy,modified,rights,rightsHolder,accessRights,recordID,references
125667,KU,SEMC,,903ba65e-8420-4ffd-9dac-1215e88eb98b,PreservedSpecimen,1d9c7248-1ed6-11e3-bfac-90b11c41863e,459798,,,Animalia,Arthropoda,Insecta,Hymenoptera,Megachilidae,Ashmeadiella (Ashmeadiella) bucconis denticulata,49394,"(Cresson, 1878)",Ashmeadiella,,bucconis,,denticulata,,,Subspecies,unknown,,,,,,,"Minckley, Robert",,1994-04-27,,1994.0,4.0,27.0,117.0,,04/27/1994,,,,,,US.AZ.MinckleyR1994.04.27 001,,,,,,,,adult,,,,Pinned - 1,,Nearctic,,,,United States,,Arizona,Cochise,,"Pomerene, 8 km N",,32.0667,-110.2833,,,,,,,,,1142.0,1142.0,,,,,,,,2010-10-18 04:34:33,https://creativecommons.org/publicdomain/zero/1.0/,,,a32d826d-594a-4a74-a12b-80c3c6d29c75,https://library.big-bee.net/portal/collections/individual/index.php?occid=125667
169803,KU,SEMC,,903ba65e-8420-4ffd-9dac-1215e88eb98b,PreservedSpecimen,29c4c63b-1ed6-11e3-bfac-90b11c41863e,302067,,,Animalia,Arthropoda,Insecta,Hymenoptera,Megachilidae,Ashmeadiella (Ashmeadiella) bucconis,6339,"(Say, 1837)",Ashmeadiella,,bucconis,,,,,Species,,,,,,,,"Brooks, Robert",,1992-03-25,,1992.0,3.0,25.0,85.0,,03/25/1992,,,,,,MEX.BrooksR1992.03.25 002,,,,,,,,adult,M,,,Pinned - 1,,Neotropical,,,,Mexico,,Durango,,,"Mapimi, 12 km E",,25.85,-103.8167,,,,,,,,,1350.0,1350.0,,,,,,,,2010-10-18 05:58:52,https://creativecommons.org/publicdomain/zero/1.0/,,,75554ad1-7695-4037-93cb-dda903b23ebe,https://library.big-bee.net/portal/collections/individual/index.php?occid=169803
463206,KU,SEMC,,903ba65e-8420-4ffd-9dac-1215e88eb98b,PreservedSpecimen,8090a686-1b51-46b0-9c0c-6c816c1ae786,813875,,,Animalia,Arthropoda,Insecta,Hymenoptera,Megachilidae,Ashmeadiella (Ashmeadiella) bucconis,6339,"(Say, 1837)",Ashmeadiella,,bucconis,,,,,Species,"Minckley, Robert",2007,,,,,,"Williams, N",,2006-08-06,,2006.0,8.0,6.0,218.0,,08/06/2006,,,,,,MEX.WilliamsN2006.08.06 001,,,,,,,,adult,M,,,Pinned - 1,,Neotropical,,,,Mexico,,Sonora,,,"Agua Prieta, 30 km E",,31.3144,-109.2392,,,,,,,,,,,,,,,,,,2014-08-14 10:28:49,https://creativecommons.org/publicdomain/zero/1.0/,,,dbccbd68-770d-436c-bbea-a0d79ceebcdf,https://library.big-bee.net/portal/collections/individual/index.php?occid=463206
463207,KU,SEMC,,903ba65e-8420-4ffd-9dac-1215e88eb98b,PreservedSpecimen,1fb936b6-7a03-44a0-8f0b-90dbafc11a49,813876,,,Animalia,Arthropoda,Insecta,Hymenoptera,Megachilidae,Ashmeadiella (Ashmeadiella) bucconis,6339,"(Say, 1837)",Ashmeadiella,,bucconis,,,,,Species,"Minckley, Robert",,,,,,,"Minckley, Robert",,2006-08-01,,2006.0,8.0,1.0,213.0,,08/01/2006,,,,,,MEX.MinckleyR2006.08.01 001,,,,,Conyza canadensis,,,adult,M,,,Pinned - 1,,Neotropical,,,,Mexico,,Sonora,,,"Agua Prieta, 30 km E",,31.3144,-109.2392,,,,,,,,,,,,,,,,,,2014-08-14 10:32:07,https://creativecommons.org/publicdomain/zero/1.0/,,,20dea881-eca3-4a53-814c-93f8f98ab056,https://library.big-bee.net/portal/collections/individual/index.php?occid=463207
463233,KU,SEMC,,903ba65e-8420-4ffd-9dac-1215e88eb98b,PreservedSpecimen,e1f87834-0fc0-4fd1-a93d-83796fe87409,813921,,,Animalia,Arthropoda,Insecta,Hymenoptera,Megachilidae,Ashmeadiella (Ashmeadiella) bucconis,6339,"(Say, 1837)",Ashmeadiella,,bucconis,,,,,Species,"Griswold, T",,,,,,,"Minckley, Robert",,1995-05-12,,1995.0,5.0,12.0,132.0,,05/12/1995,,,,,,US.TX.MinckleyR1995.05.12 001,,,,,Dyssodia,,,adult,M,,,Pinned - 1,,Nearctic,,,,United States,,Texas,Culberson,,"Pine Springs, 11 km SW, Guadalupe Mountain National Park",,31.8925,-104.93,,,,,,,,,,,,,,,,,,2014-08-14 10:54:20,https://creativecommons.org/publicdomain/zero/1.0/,,,d3acc27b-9ef9-4c85-9a2b-a9d57fd2e762,https://library.big-bee.net/portal/collections/individual/index.php?occid=463233
683579,USDA-ARS,BBSL,,8011f62e-ea94-4fcd-b545-9ad1060d1a3f,PreservedSpecimen,658587121,BBSL709620,,,Animalia,Arthropoda,Insecta,Hymenoptera,Megachilidae,Ashmeadiella bucconis,6339,"(Say, 1837)",Ashmeadiella,,bucconis,,,,,Species,,,,,,,,R. Fitts,,1990-06-26,,1990.0,6.0,26.0,177.0,,1990-6-26,,,,,,,,,,,,,,,,,,,,,,,,United States,,Colorado,Montrose,,"Montrose, 8 km SE",,38.44,-107.8,,,"38.44000, -107.80000",,,,,,,,,,,,,,,2023-06-20 14:37:21,http://creativecommons.org/licenses/by/4.0/,,,30ed350e-d962-4db2-9d4f-ff6a7962a104,https://library.big-bee.net/portal/collections/individual/index.php?occid=683579
683580,USDA-ARS,BBSL,,8011f62e-ea94-4fcd-b545-9ad1060d1a3f,PreservedSpecimen,658587122,134940,,,Animalia,Arthropoda,Insecta,Hymenoptera,Megachilidae,Ashmeadiella bucconis,6339,"(Say, 1837)",Ashmeadiella,,bucconis,,,,,Species,,,,,,,,R. Fitts,,1990-06-05,,1990.0,6.0,5.0,156.0,,1990-6-5,,,,,,,,,,,,,,,,,,,,,,,,United States,,Arizona,Mohave,,Lost Spring,,36.1558,-113.3767,,,"36.15580, -113.37670",,,,,,,,,,,,,,,2023-06-20 14:37:21,http://creativecommons.org/licenses/by/4.0/,,,e2569746-a69c-416e-bc0b-1537cea7c03a,https://library.big-bee.net/portal/collections/individual/index.php?occid=683580
683581,USDA-ARS,BBSL,,8011f62e-ea94-4fcd-b545-9ad1060d1a3f,PreservedSpecimen,658587123,134938,,,Animalia,Arthropoda,Insecta,Hymenoptera,Megachilidae,Ashmeadiella bucconis,6339,"(Say, 1837)",Ashmeadiella,,bucconis,,,,,Species,,,,,,,,R. Fitts,,1990-05-25,,1990.0,5.0,25.0,145.0,,1990-5-25,,,,,,,,,,,,,,,,,,,,,,,,United States,,Arizona,Mohave,,Lost Spring,,36.1558,-113.3767,,,"36.15580, -113.37670",,,,,,,,,,,,,,,2023-06-20 14:37:21,http://creativecommons.org/licenses/by/4.0/,,,ce65c096-c86b-4351-a582-4e4c0f89be8c,https://library.big-bee.net/portal/collections/individual/index.php?occid=683581
683582,USDA-ARS,BBSL,,8011f62e-ea94-4fcd-b545-9ad1060d1a3f,PreservedSpecimen,658587124,BBSL459505,,,Animalia,Arthropoda,Insecta,Hymenoptera,Megachilidae,Ashmeadiella bucconis,6339,"(Say, 1837)",Ashmeadiella,,bucconis,,,,,Species,H. Ikerd 2003,,,,,,,,,2002-07-17,,2002.0,7.0,17.0,198.0,,2002-7-17,,,,,,,,,,,,,,,,,,,,,,,,United States,,California,ContraCosta,,"Mt. Wanda, John Muir Hist. Site",,37.99196,-122.13058,,,"37.99196, -122.13058",,,,,,,,,,,,,,,2023-06-20 14:37:21,http://creativecommons.org/licenses/by/4.0/,,,4825e9f8-e09b-46b3-8377-78846d9c09a7,https://library.big-bee.net/portal/collections/individual/index.php?occid=683582
683583,USDA-ARS,BBSL,,8011f62e-ea94-4fcd-b545-9ad1060d1a3f,PreservedSpecimen,658587125,BBSL647392,,,Animalia,Arthropoda,Insecta,Hymenoptera,Megachilidae,Ashmeadiella bucconis,6339,"(Say, 1837)",Ashmeadiella,,bucconis,,,,,Species,H. Ikerd 2005,,,,,,,"G.W. Frankie, M. Schindler, J. Kohleriter",,2002-08-23,,2002.0,8.0,23.0,235.0,,2002-8-23,,,,,,,,,,,,,,,,,,,,,,,,United States,,California,ContraCosta,,"Urban Martinez, 55 Millthwait",,37.973,-122.1283,,,"37.97300, -122.12830",,,,,,,,,,,,,,,2023-06-20 14:37:21,http://creativecommons.org/licenses/by/4.0/,,,4c444cb5-fec0-4355-a13a-23bffb167056,https://library.big-bee.net/portal/collections/individual/index.php?occid=683583
