id,institutionCode,collectionCode,ownerInstitutionCode,collectionID,basisOfRecord,occurrenceID,catalogNumber,otherCatalogNumbers,higherClassification,kingdom,phylum,class,order,family,scientificName,taxonID,scientificNameAuthorship,genus,subgenus,specificEpithet,verbatimTaxonRank,infraspecificEpithet,cultivarEpithet,tradeName,taxonRank,identifiedBy,dateIdentified,identificationReferences,identificationRemarks,taxonRemarks,identificationQualifier,typeStatus,recordedBy,recordNumber,eventDate,eventtime,year,month,day,startDayOfYear,endDayOfYear,verbatimEventDate,occurrenceRemarks,habitat,behavior,vitality,fieldNumber,eventID,informationWithheld,dataGeneralizations,dynamicProperties,associatedSequences,associatedTaxa,reproductiveCondition,establishmentMeans,lifeStage,sex,individualCount,samplingProtocol,preparations,locationID,continent,waterBody,islandGroup,island,country,countryCode,stateProvince,county,municipality,locality,locationRemarks,decimalLatitude,decimalLongitude,geodeticDatum,coordinateUncertaintyInMeters,verbatimCoordinates,georeferencedBy,georeferenceProtocol,georeferenceSources,georeferenceVerificationStatus,georeferenceRemarks,minimumElevationInMeters,maximumElevationInMeters,minimumDepthInMeters,maximumDepthInMeters,verbatimDepth,verbatimElevation,disposition,language,recordEnteredBy,modified,rights,rightsHolder,accessRights,recordID,references
696156,DUGWAY,DUG-ENT,,847b0b2e-b6d5-4373-8c09-0ab3bc9b8376,PreservedSpecimen,a56f494c-75bf-4386-9045-6d4b2f0a21f1,DPG1HEXA0000046,,,Animalia,Arthropoda,Insecta,Hymenoptera,Megachilidae,"Ashmeadiella bucconis",235988,"(Say, 1837)",Ashmeadiella,,bucconis,,,,,Species,,,,,,,,R.Andrus,,2003-06-11,,2003,6,11,162,,"11 June 2003","barcode:BBSL503019, Native bee survey, USDA, Logan, Utah.",,,,,,,,,,"Gilia leptomeria",,,Adult,,1,"general collecting","Pinned, Imaged at the Museum of Northern Arizona by Zane Holditch",,"North America",,,,"United States",US,Utah,Tooele,Dugway,"3 mi NNE Camels Back Ridge",,40.166854,-112.929744,WGS84,,"12s 335674E 4448062N",,,,,,,,,,,,Dugway,,Dugway,"2019-03-17 13:37:31",http://creativecommons.org/publicdomain/zero/1.0/,,,94c7b3e1-bf03-4055-a178-85c3c986de9d,https://ecdysis.org/collections/individual/index.php?occid=696156
696157,DUGWAY,DUG-ENT,,847b0b2e-b6d5-4373-8c09-0ab3bc9b8376,PreservedSpecimen,e4d72c41-4328-43b4-bec8-f64f48cc7fec,DPG1HEXA0000047,,,Animalia,Arthropoda,Insecta,Hymenoptera,Megachilidae,"Ashmeadiella bucconis",235988,"(Say, 1837)",Ashmeadiella,,bucconis,,,,,Species,,,,,,,,"c. Boyer",,2003-07-18,,2003,7,18,199,,"18 July 2003","barcode:BBSL503012, Native bee survey, USDA, Logan, Utah.",,,,,,,,,,"Machaerantherea canescens",,,Adult,,1,"general collecting","Pinned, Imaged at the Museum of Northern Arizona by Zane Holditch",,"North America",,,,"United States",US,Utah,Tooele,Dugway,"1.3 mi W little Granite Mtn.",,40.194047,-112.859607,WGS84,,"12s 341710E 4450953N",,,,,,,,,,,,Dugway,,Dugway,"2019-04-06 18:12:00",http://creativecommons.org/publicdomain/zero/1.0/,,,92b8bf27-5781-49d1-9ac6-b4b3d673df7d,https://ecdysis.org/collections/individual/index.php?occid=696157
797576,NAU,NAAC,NAU,875b3050-dc20-414e-a67b-eb81b0f3fc2d,PreservedSpecimen,ff413665-fe7d-4c43-9b02-90f1a4343044,NAUF4A0058014,,,Animalia,Arthropoda,Insecta,Hymenoptera,Megachilidae,"Ashmeadiella bucconis",235988,"(Say, 1837)",Ashmeadiella,,bucconis,,,,,Species,CPMAB,,,,,,,"Robert J. Delph",,2014-05-26,,2014,5,26,146,,"2014-05-26 to 2014-06-05",,,,,,,,,,,,,,adult,,1,"White Cup",,,"North America",,,,"United States",US,Utah,Tooele,,"Dugway, N. Gate Rd., Dune 2C",,40.4102,-113.0921,WGS84,,,,,,,,,,,,,,"Northern Arizona University",,ens37,"2015-10-01 19:18:01",http://creativecommons.org/publicdomain/zero/1.0/,,,a58f93b6-f196-4f47-aad1-fe1e14500b90,https://ecdysis.org/collections/individual/index.php?occid=797576
797577,NAU,NAAC,NAU,875b3050-dc20-414e-a67b-eb81b0f3fc2d,PreservedSpecimen,0d1f174a-1889-4218-ad2c-6001d64c395b,NAUF4A0058003,,,Animalia,Arthropoda,Insecta,Hymenoptera,Megachilidae,"Ashmeadiella bucconis",235988,"(Say, 1837)",Ashmeadiella,,bucconis,,,,,Species,CPMAB,,,,,,,"Robert J. Delph",,2014-05-26,,2014,5,26,146,,"2014-05-26 to 2014-06-05",,,,,,,,,,,,,,adult,,1,"White Cup",,,"North America",,,,"United States",US,Utah,Tooele,,"Dugway, N. Gate Rd., Dune 2C",,40.4102,-113.0921,WGS84,,,,,,,,,,,,,,"Northern Arizona University",,ens37,"2015-10-01 19:19:20",http://creativecommons.org/publicdomain/zero/1.0/,,,fa7a4ec8-6366-4dda-8dcd-9c9a24293d5e,https://ecdysis.org/collections/individual/index.php?occid=797577
810764,NAU,NAAC,NAU,875b3050-dc20-414e-a67b-eb81b0f3fc2d,PreservedSpecimen,c062b067-f9df-43a2-b360-305dc184063c,NAUF4A0082648,,,Animalia,Arthropoda,Insecta,Hymenoptera,Megachilidae,"Ashmeadiella bucconis",235988,"(Say, 1837)",Ashmeadiella,,bucconis,,,,,Species,,,,,,,,"Dave Smith",,2009-05-28,,2009,5,28,148,,8/11/09,,Pinyon-Juniper,,,,,,,,,,,,Adult,,1,"Pollinator Cup",Pinned,,"North America",,,,"United States",US,Arizona,Coconino,,PJ8,,35.514,-111.6232,"WGS 84",,,,,,,,,,,,,,"Northern Arizona University",,"Atticus Wolf","2018-09-25 00:00:00",http://creativecommons.org/publicdomain/zero/1.0/,,,be4a0e69-fb49-4ef4-8a0a-0aa0f10f70c0,https://ecdysis.org/collections/individual/index.php?occid=810764
1132408,UA,RLMC,,cef5463b-e7e2-4025-9a52-e8f1a5f5ea80,PreservedSpecimen,e0cfd06b-45a1-464e-8361-2cc3975cd1e7,,SBV061720,,Animalia,Arthropoda,Insecta,Hymenoptera,Megachilidae,"Ashmeadiella bucconis",235988,"(Say, 1837)",Ashmeadiella,,bucconis,,,,,Species,"Robert L. Minckley",7-Nov-07,,Ashmeadiella,,,,"Robert L. Minckley T'ai H. Roulston",,2006-08-17,,2006,8,17,229,,17-Aug-06,,,,,,,,,,,"Laennecia coulteri",,,Adult,Female,,net,Pinned,,"North America",,,,Mexico,MX,Sonora,"Municipio de Agua Prieta",,"30 km east of Agua Prieta",,31.31583,-109.26861,,,,,,,,,,,,,,1118,,,,"2020-09-06 00:00:00",http://creativecommons.org/publicdomain/zero/1.0/,,,98be0432-77df-45af-a800-4e2401908294,https://ecdysis.org/collections/individual/index.php?occid=1132408
1132409,UA,RLMC,,cef5463b-e7e2-4025-9a52-e8f1a5f5ea80,PreservedSpecimen,d159a77e-4bb2-45bf-a8e2-8ff10811797a,,SBV001365,,Animalia,Arthropoda,Insecta,Hymenoptera,Megachilidae,"Ashmeadiella bucconis",235988,"(Say, 1837)",Ashmeadiella,,bucconis,,,,,Species,"Robert L. Minckley",25-Sep-06,,Ashmeadiella,,,,"K. Toal",,2000-07-27,,2000,7,27,209,,27-Jul-00,,,,,,,,,,,,,,Adult,Male,,"blue pan trap",Pinned,,"North America",,,,Mexico,MX,Sonora,"Municipio de Agua Prieta",,"30 km east of Agua Prieta",,31.33056,-109.26667,,,,,,,,,,,,,,,,,,"2020-09-06 00:00:00",http://creativecommons.org/publicdomain/zero/1.0/,,,8e05e7a5-7ba0-4434-b7e7-7b4a5b6c98be,https://ecdysis.org/collections/individual/index.php?occid=1132409
1132410,UA,RLMC,,cef5463b-e7e2-4025-9a52-e8f1a5f5ea80,PreservedSpecimen,821b9622-f626-46f4-93be-d7daf38d3d77,,SBV010647,,Animalia,Arthropoda,Insecta,Hymenoptera,Megachilidae,"Ashmeadiella bucconis",235988,"(Say, 1837)",Ashmeadiella,,bucconis,,,,,Species,"Robert L. Minckley",29-Dec-08,,Ashmeadiella,,,,"J. Arturo Romero",,2002-04-21,,2002,4,21,111,,21-Apr-02,,,,,,,,,,,,,,Adult,Female,,"white pan trap",Pinned,,"North America",,,,Mexico,MX,Sonora,"Municipio de Agua Prieta",,"30 km east of Agua Prieta",,31.31445,-109.2392,,,,,,,,,,,,,,,,,,"2020-09-06 00:00:00",http://creativecommons.org/publicdomain/zero/1.0/,,,7834c9fb-8544-4cd3-95ed-13401e26f26b,https://ecdysis.org/collections/individual/index.php?occid=1132410
1132411,UA,RLMC,,cef5463b-e7e2-4025-9a52-e8f1a5f5ea80,PreservedSpecimen,e70788b5-2d5d-4ac0-ad62-d78fac4a1c66,,SBV0002912,,Animalia,Arthropoda,Insecta,Hymenoptera,Megachilidae,"Ashmeadiella bucconis",235988,"(Say, 1837)",Ashmeadiella,,bucconis,,,,,Species,"Robert L. Minckley",29-Nov-06,,Ashmeadiella,,,,"Robert L. Minckley",,2000-04-15,,2000,4,15,106,,15-Apr-00,,,,,,,,,,,,,,Adult,Male,,net,Pinned,,"North America",,,,Mexico,MX,Sonora,"Municipio de Agua Prieta",,"30 km east of Agua Prieta",,31.32907,-109.26553,,,,,,,,,,,,,,1067,,,,"2020-09-06 00:00:00",http://creativecommons.org/publicdomain/zero/1.0/,,,f4461d98-d6b0-486f-ab3e-b484c428aa20,https://ecdysis.org/collections/individual/index.php?occid=1132411
1132412,UA,RLMC,,cef5463b-e7e2-4025-9a52-e8f1a5f5ea80,PreservedSpecimen,5560a8cb-ae6e-4df3-a196-44102f1c4c82,,SBV000436,,Animalia,Arthropoda,Insecta,Hymenoptera,Megachilidae,"Ashmeadiella bucconis",235988,"(Say, 1837)",Ashmeadiella,,bucconis,,,,,Species,"Robert L. Minckley",29-Nov-06,,Ashmeadiella,,,,"Robert L. Minckley",,2000-08-11,,2000,8,11,224,,11-Aug-00,,,,,,,,,,,"Allionia incarnata",,,Adult,Male,,net,Pinned,,"North America",,,,Mexico,MX,Sonora,"Municipio de Agua Prieta",,"30 km east of Agua Prieta",,31.3325,-109.26972,,,,,,,,,,,,,,1067,,,,"2020-09-06 00:00:00",http://creativecommons.org/publicdomain/zero/1.0/,,,7d4b11f8-3b84-46af-85cd-aba7af67c705,https://ecdysis.org/collections/individual/index.php?occid=1132412
