coreid,identifiedBy,dateIdentified,identificationQualifier,scientificName,scientificNameAuthorship,genus,specificEpithet,taxonRank,infraspecificEpithet,identificationReferences,identificationRemarks,recordID,modified
6205,unknown,s.d.,,"Ashmeadiella bucconis","(Say, 1837)",Ashmeadiella,bucconis,,,,,541c795c-710e-4045-8ae2-acb0ea97f998,"2023-06-20 14:31:37"
6728,unknown,s.d.,,"Ashmeadiella bucconis","(Say, 1837)",Ashmeadiella,bucconis,,,,,061a4b5c-c901-4895-8d7b-778252da8b08,"2023-06-20 14:31:37"
6729,unknown,s.d.,,"Ashmeadiella bucconis","(Say, 1837)",Ashmeadiella,bucconis,,,,,67881ae9-4ee0-47ed-a165-7193612ea5c1,"2023-06-20 14:31:37"
6987,unknown,s.d.,,"Ashmeadiella bucconis","(Say, 1837)",Ashmeadiella,bucconis,,,,,59f9c7e0-83b4-4374-a22a-686c6af7eca6,"2023-06-20 14:31:37"
6988,unknown,s.d.,,"Ashmeadiella bucconis","(Say, 1837)",Ashmeadiella,bucconis,,,,,b8f25c8d-64d1-404d-858d-48f27483fbf5,"2023-06-20 14:31:37"
6989,unknown,s.d.,,"Ashmeadiella bucconis","(Say, 1837)",Ashmeadiella,bucconis,,,,,51790d3c-9a4f-436d-aea8-d38f630019b5,"2023-06-20 14:31:37"
7437,unknown,s.d.,,"Ashmeadiella bucconis","(Say, 1837)",Ashmeadiella,bucconis,,,,,f61607dd-fbaf-48fd-820d-f6c84693fbdb,"2023-06-20 14:31:37"
86050,unknown,s.d.,,"Ashmeadiella bucconis denticulata","(Cresson, 1878)",Ashmeadiella,bucconis,,denticulata,,,2279f788-b512-4462-8f05-919868afb42b,"2023-06-20 14:31:37"
87266,unknown,s.d.,,"Ashmeadiella bucconis denticulata","(Cresson, 1878)",Ashmeadiella,bucconis,,denticulata,,,8435af2f-da81-4618-863e-da8644524c26,"2023-06-20 14:31:37"
87555,unknown,s.d.,,"Ashmeadiella bucconis","(Say, 1837)",Ashmeadiella,bucconis,,,,,88acff70-8a7c-44d3-a568-e110fad107da,"2023-06-20 14:31:37"
89219,unknown,s.d.,,"Ashmeadiella bucconis denticulata","(Cresson, 1878)",Ashmeadiella,bucconis,,denticulata,,,b35afbe8-9f36-4b94-932b-57b3b2d4a3b5,"2023-06-20 14:31:37"
90689,unknown,s.d.,,"Ashmeadiella bucconis denticulata","(Cresson, 1878)",Ashmeadiella,bucconis,,denticulata,,,07d7e7b0-3ec5-4cd4-a4c5-3215a242cc92,"2023-06-20 14:31:37"
91132,unknown,s.d.,,"Ashmeadiella bucconis denticulata","(Cresson, 1878)",Ashmeadiella,bucconis,,denticulata,,,5843f25f-54d0-48cb-9b48-dcaf2a7ad528,"2023-06-20 14:31:37"
