coreid,identifiedBy,dateIdentified,identificationQualifier,scientificName,scientificNameAuthorship,genus,specificEpithet,taxonRank,infraspecificEpithet,identificationReferences,identificationRemarks,recordID,modified
90011,unknown,s.d.,,"Calliopsis coloradensis","Cresson, 1878",Calliopsis,coloradensis,,,,,941cd7fd-ba17-4009-88a7-d49b5493432e,"2023-06-20 14:31:37"
92259,"Shinn, Alvin",s.d.,,"Calliopsis coloradensis","Cresson, 1878",Calliopsis,coloradensis,,,,,44f53fa8-897f-4e59-9a82-2d1f2815255e,"2023-06-20 14:31:37"
93996,"Shinn, Alvin",s.d.,,"Calliopsis coloradensis","Cresson, 1878",Calliopsis,coloradensis,,,,,d57c1d5a-3898-4d07-b061-8887be80df28,"2023-06-20 14:31:37"
95809,unknown,s.d.,,"Calliopsis coloradensis","Cresson, 1878",Calliopsis,coloradensis,,,,,192c1c94-dd65-45fa-94f0-79f9a303085c,"2023-06-20 14:31:37"
102271,unknown,s.d.,,"Calliopsis coloradensis","Cresson, 1878",Calliopsis,coloradensis,,,,,20ae3139-89dd-405a-aa17-c752e0fab535,"2023-06-20 14:31:37"
107741,"Shinn, Alvin",s.d.,,"Calliopsis coloradensis","Cresson, 1878",Calliopsis,coloradensis,,,,,28fca245-3a0c-40a6-a398-a458f89538a9,"2023-06-20 14:31:37"
109359,unknown,s.d.,,"Calliopsis coloradensis","Cresson, 1878",Calliopsis,coloradensis,,,,,2e26f29e-abf1-4665-9fc8-a407978f8b29,"2023-06-20 14:31:37"
111614,unknown,s.d.,,"Calliopsis coloradensis","Cresson, 1878",Calliopsis,coloradensis,,,,,1afa6af9-305a-4c98-8ce5-86a15590ec97,"2023-06-20 14:31:37"
112418,unknown,s.d.,,"Calliopsis coloradensis","Cresson, 1878",Calliopsis,coloradensis,,,,,f44958f6-0e7c-4b4d-b8e7-5f01d566f62e,"2023-06-20 14:31:37"
115983,"Shinn, Alvin",s.d.,,"Calliopsis coloradensis","Cresson, 1878",Calliopsis,coloradensis,,,,,ca85169f-588d-4401-8f52-77509897f32a,"2023-06-20 14:31:37"
116566,unknown,s.d.,,"Calliopsis coloradensis","Cresson, 1878",Calliopsis,coloradensis,,,,,64b22376-7729-4469-94e7-2ad3c49f564a,"2023-06-20 14:31:37"
117249,"Shinn, Alvin",s.d.,,"Calliopsis coloradensis","Cresson, 1878",Calliopsis,coloradensis,,,,,39598416-8940-4458-bd59-fbf4911e3097,"2023-06-20 14:31:37"
117613,"Shinn, Alvin",s.d.,,"Calliopsis coloradensis","Cresson, 1878",Calliopsis,coloradensis,,,,,e0c8e47f-37f8-42c9-addd-1fb9979d29e0,"2023-06-20 14:31:37"
119078,"Shinn, Alvin",s.d.,,"Calliopsis coloradensis","Cresson, 1878",Calliopsis,coloradensis,,,,,689e059d-1283-4fb0-8a43-83c4a2d55770,"2023-06-20 14:31:37"
119201,unknown,s.d.,,"Calliopsis coloradensis","Cresson, 1878",Calliopsis,coloradensis,,,,,00fe6ff3-7506-46c7-94ee-9159014b88ea,"2023-06-20 14:31:37"
