id,institutionCode,collectionCode,ownerInstitutionCode,collectionID,basisOfRecord,occurrenceID,catalogNumber,otherCatalogNumbers,higherClassification,kingdom,phylum,class,order,family,scientificName,taxonID,scientificNameAuthorship,genus,subgenus,specificEpithet,verbatimTaxonRank,infraspecificEpithet,cultivarEpithet,tradeName,taxonRank,identifiedBy,dateIdentified,identificationReferences,identificationRemarks,taxonRemarks,identificationQualifier,typeStatus,recordedBy,recordNumber,eventDate,eventtime,year,month,day,startDayOfYear,endDayOfYear,verbatimEventDate,occurrenceRemarks,habitat,behavior,vitality,fieldNumber,eventID,informationWithheld,dataGeneralizations,dynamicProperties,associatedSequences,associatedTaxa,reproductiveCondition,establishmentMeans,lifeStage,sex,individualCount,samplingProtocol,preparations,locationID,continent,waterBody,islandGroup,island,country,countryCode,stateProvince,county,municipality,locality,locationRemarks,decimalLatitude,decimalLongitude,geodeticDatum,coordinateUncertaintyInMeters,verbatimCoordinates,georeferencedBy,georeferenceProtocol,georeferenceSources,georeferenceVerificationStatus,georeferenceRemarks,minimumElevationInMeters,maximumElevationInMeters,minimumDepthInMeters,maximumDepthInMeters,verbatimDepth,verbatimElevation,disposition,language,recordEnteredBy,modified,rights,rightsHolder,accessRights,recordID,references
107736,KU,SEMC,,903ba65e-8420-4ffd-9dac-1215e88eb98b,PreservedSpecimen,1a76a3d8-1ed6-11e3-bfac-90b11c41863e,405715,,,Animalia,Arthropoda,Insecta,Hymenoptera,Andrenidae,"Calliopsis (Macronomadopsis) zebrata",2090,"Cresson, 1878",Calliopsis,,zebrata,,,,,Species,unknown,,,,,,,"Johnston, C",,1937-07-06,,1937,7,6,187,,07/06/1937,,,,,,"US.CO.JohnstonC1937.07.06 001",,,,,,,,adult,M,,,"Pinned - 1",,Nearctic,,,,"United States",,Colorado,Alamosa,,Alamosa,,,,,,,,,,,,,,,,,,,,,"2011-07-12 10:47:53",https://creativecommons.org/publicdomain/zero/1.0/,,,a5118bf7-d590-4a13-885e-18527cfd97f2,https://library.big-bee.net/portal/collections/individual/index.php?occid=107736
113316,KU,SEMC,,903ba65e-8420-4ffd-9dac-1215e88eb98b,PreservedSpecimen,1b6e0dfb-1ed6-11e3-bfac-90b11c41863e,405724,,,Animalia,Arthropoda,Insecta,Hymenoptera,Andrenidae,"Calliopsis (Macronomadopsis) zebrata",2090,"Cresson, 1878",Calliopsis,,zebrata,,,,,Species,unknown,,,,,,,"Beamer, Raymond",,1949-07-06,,1949,7,6,187,,07/06/1949,,,,,,"US.CO.BeamerR1949.07.06 002",,,,,,,,adult,M,,,"Pinned - 1",,Nearctic,,,,"United States",,Colorado,Teller,,Florissant,,38.9458,-105.2889,,,,,,,,,,,,,,,,,,"2011-07-12 10:49:37",https://creativecommons.org/publicdomain/zero/1.0/,,,9a1abce0-48eb-4acf-9d99-c53fb6a66434,https://library.big-bee.net/portal/collections/individual/index.php?occid=113316
113894,KU,SEMC,,903ba65e-8420-4ffd-9dac-1215e88eb98b,PreservedSpecimen,1b8735ea-1ed6-11e3-bfac-90b11c41863e,405725,,,Animalia,Arthropoda,Insecta,Hymenoptera,Andrenidae,"Calliopsis (Macronomadopsis) zebrata",2090,"Cresson, 1878",Calliopsis,,zebrata,,,,,Species,unknown,,,,,,,"Beamer, Raymond",,1949-07-09,,1949,7,9,190,,07/09/1949,,,,,,"US.CO.BeamerR1949.07.09 001",,,,,,,,adult,F,,,"Pinned - 1",,Nearctic,,,,"United States",,Colorado,Boulder,,Pinecliffe,,39.41,-105.3233,,,,,,,,,,,,,,,,,,"2011-07-12 10:48:57",https://creativecommons.org/publicdomain/zero/1.0/,,,dd091a75-c26b-4013-a3ae-39a11468c5bd,https://library.big-bee.net/portal/collections/individual/index.php?occid=113894
124737,KU,SEMC,,903ba65e-8420-4ffd-9dac-1215e88eb98b,PreservedSpecimen,1d6f5815-1ed6-11e3-bfac-90b11c41863e,405723,,,Animalia,Arthropoda,Insecta,Hymenoptera,Andrenidae,"Calliopsis (Macronomadopsis) zebrata",2090,"Cresson, 1878",Calliopsis,,zebrata,,,,,Species,unknown,,,,,,,"Beamer, Raymond",,1949-07-06,,1949,7,6,187,,07/06/1949,,,,,,"US.CO.BeamerR1949.07.06 002",,,,,,,,adult,M,,,"Pinned - 1",,Nearctic,,,,"United States",,Colorado,Teller,,Florissant,,38.9458,-105.2889,,,,,,,,,,,,,,,,,,"2011-07-12 10:48:03",https://creativecommons.org/publicdomain/zero/1.0/,,,8979fafa-689d-47c1-bfe7-7d6461e6e881,https://library.big-bee.net/portal/collections/individual/index.php?occid=124737
133590,KU,SEMC,,903ba65e-8420-4ffd-9dac-1215e88eb98b,PreservedSpecimen,1efaacda-1ed6-11e3-bfac-90b11c41863e,405719,,,Animalia,Arthropoda,Insecta,Hymenoptera,Andrenidae,"Calliopsis (Macronomadopsis) zebrata",2090,"Cresson, 1878",Calliopsis,,zebrata,,,,,Species,unknown,,,,,,,unknown,,1932-07-20,,1932,7,20,202,,07/20/1932,,,,,,,,,,,,,,adult,M,,,"Pinned - 1",,Nearctic,,,,"United States",,Colorado,Costilla,,"Mountain Home Lake, Fort Garland",,37.4289,-105.4333,,,,,,,,,2530,2530,,,,,,,,"2011-07-12 10:46:52",https://creativecommons.org/publicdomain/zero/1.0/,,,93656ed6-479f-4627-93fb-e10b8186f07a,https://library.big-bee.net/portal/collections/individual/index.php?occid=133590
140295,KU,SEMC,,903ba65e-8420-4ffd-9dac-1215e88eb98b,PreservedSpecimen,2022dffd-1ed6-11e3-bfac-90b11c41863e,405730,,,Animalia,Arthropoda,Insecta,Hymenoptera,Andrenidae,"Calliopsis (Macronomadopsis) zebrata",2090,"Cresson, 1878",Calliopsis,,zebrata,,,,,Species,unknown,,,,,,,unknown,,1919-07-10,,1919,7,10,191,,07/10/1919,,,,,,,,,,,,,,adult,M,,,"Pinned - 1",,Nearctic,,,,"United States",,Colorado,Ouray,,Ridgeway,,38.15,-107.75,,,,,,,,,2134,2134,,,,,,,,"2011-07-12 10:49:10",https://creativecommons.org/publicdomain/zero/1.0/,,,f9bc26bc-a1e5-437b-a3be-9389e84adc6b,https://library.big-bee.net/portal/collections/individual/index.php?occid=140295
145635,KU,SEMC,,903ba65e-8420-4ffd-9dac-1215e88eb98b,PreservedSpecimen,210bfbfe-1ed6-11e3-bfac-90b11c41863e,405734,,,Animalia,Arthropoda,Insecta,Hymenoptera,Andrenidae,"Calliopsis (Macronomadopsis) zebrata",2090,"Cresson, 1878",Calliopsis,,zebrata,,,,,Species,unknown,,,,,,,"James, M",,1933-06-20,,1933,6,20,171,,06/20/1933,,,,,,"US.CO.JamesM1933.06.20 001",,,,,,,,adult,M,,,"Pinned - 1",,Nearctic,,,,"United States",,Colorado,Boulder,,"Owens Lake, Valmont",,39.2425,-103.645,,,,,,,,,,,,,,,,,,"2011-07-12 10:47:04",https://creativecommons.org/publicdomain/zero/1.0/,,,86856f5e-d73c-47cd-8df2-08d67f125fee,https://library.big-bee.net/portal/collections/individual/index.php?occid=145635
148487,KU,SEMC,,903ba65e-8420-4ffd-9dac-1215e88eb98b,PreservedSpecimen,21e355d0-1ed6-11e3-bfac-90b11c41863e,405733,,,Animalia,Arthropoda,Insecta,Hymenoptera,Andrenidae,"Calliopsis (Macronomadopsis) zebrata",2090,"Cresson, 1878",Calliopsis,,zebrata,,,,,Species,unknown,,,,,,,unknown,,,,,,,,,,,,,,,,,,,,,,,adult,M,,,"Pinned - 1",,Nearctic,,,,"United States",,Minnesota,Hubbard,,unspecified,,,,,,,,,,,,,,,,,,,,,"2011-07-12 10:48:15",https://creativecommons.org/publicdomain/zero/1.0/,,,2f4683fb-5f3a-461e-96c8-5ba2d7380d29,https://library.big-bee.net/portal/collections/individual/index.php?occid=148487
166193,KU,SEMC,,903ba65e-8420-4ffd-9dac-1215e88eb98b,PreservedSpecimen,254b6054-1ed6-11e3-bfac-90b11c41863e,292739,,,Animalia,Arthropoda,Insecta,Hymenoptera,Andrenidae,"Calliopsis (Macronomadopsis) zebrata",2090,"Cresson, 1878",Calliopsis,,zebrata,,,,,Species,"Rozen, Jerome",,,,,,,"Beamer, Raymond",,1949-07-09,,1949,7,9,190,,07/09/1949,,,,,,"US.CO.BeamerR1949.07.09 001",,,,,,,,adult,F,,,"Pinned - 1",,Nearctic,,,,"United States",,Colorado,Boulder,,Pinecliffe,,39.41,-105.3233,,,,,,,,,,,,,,,,,,"2011-07-13 10:58:26",https://creativecommons.org/publicdomain/zero/1.0/,,,8e6a8bf3-9859-422e-bd56-94e67b0306d4,https://library.big-bee.net/portal/collections/individual/index.php?occid=166193
166972,KU,SEMC,,903ba65e-8420-4ffd-9dac-1215e88eb98b,PreservedSpecimen,256de007-1ed6-11e3-bfac-90b11c41863e,405716,,,Animalia,Arthropoda,Insecta,Hymenoptera,Andrenidae,"Calliopsis (Macronomadopsis) zebrata",2090,"Cresson, 1878",Calliopsis,,zebrata,,,,,Species,unknown,,,,,,,"Johnston, C",,1937-07-06,,1937,7,6,187,,07/06/1937,,,,,,"US.CO.JohnstonC1937.07.06 001",,,,,,,,adult,M,,,"Pinned - 1",,Nearctic,,,,"United States",,Colorado,Alamosa,,Alamosa,,,,,,,,,,,,,,,,,,,,,"2011-07-12 10:48:24",https://creativecommons.org/publicdomain/zero/1.0/,,,0fe33700-509e-4ab3-b83e-52a4564529f2,https://library.big-bee.net/portal/collections/individual/index.php?occid=166972
201167,KU,SEMC,,903ba65e-8420-4ffd-9dac-1215e88eb98b,PreservedSpecimen,34fa28fd-1ed6-11e3-bfac-90b11c41863e,405726,,,Animalia,Arthropoda,Insecta,Hymenoptera,Andrenidae,"Calliopsis (Macronomadopsis) zebrata",2090,"Cresson, 1878",Calliopsis,,zebrata,,,,,Species,unknown,,,,,,,"White, Jimmy",,1949-07-09,,1949,7,9,190,,07/09/1949,,,,,,"US.CO.WhiteJ1949.07.09 001",,,,,,,,adult,M,,,"Pinned - 1",,Nearctic,,,,"United States",,Colorado,Boulder,,Pinecliffe,,39.41,-105.3233,,,,,,,,,,,,,,,,,,"2011-07-12 10:47:16",https://creativecommons.org/publicdomain/zero/1.0/,,,dd930d2d-3315-487a-a0d4-4ec4f70d0823,https://library.big-bee.net/portal/collections/individual/index.php?occid=201167
201651,KU,SEMC,,903ba65e-8420-4ffd-9dac-1215e88eb98b,PreservedSpecimen,350f1212-1ed6-11e3-bfac-90b11c41863e,405731,,,Animalia,Arthropoda,Insecta,Hymenoptera,Andrenidae,"Calliopsis (Macronomadopsis) zebrata",2090,"Cresson, 1878",Calliopsis,,zebrata,,,,,Species,unknown,,,,,,,"Beamer, LaBerge, Liang",,1952-07-10,,1952,7,10,192,,07/10/1952,,,,,,,,,,,,,,adult,M,,,"Pinned - 1",,Nearctic,,,,"United States",,"New Mexico","San Miguel",,Sapello,,35.7728,-105.2528,,,,,,,,,,,,,,,,,,"2011-07-12 10:47:32",https://creativecommons.org/publicdomain/zero/1.0/,,,2eab1b18-4ecd-41dd-8c3d-1a67b5117bce,https://library.big-bee.net/portal/collections/individual/index.php?occid=201651
209911,KU,SEMC,,903ba65e-8420-4ffd-9dac-1215e88eb98b,PreservedSpecimen,368c0f87-1ed6-11e3-bfac-90b11c41863e,405718,,,Animalia,Arthropoda,Insecta,Hymenoptera,Andrenidae,"Calliopsis (Macronomadopsis) zebrata",2090,"Cresson, 1878",Calliopsis,,zebrata,,,,,Species,unknown,,,,,,,unknown,,1932-07-20,,1932,7,20,202,,07/20/1932,,,,,,,,,,,,,,adult,M,,,"Pinned - 1",,Nearctic,,,,"United States",,Colorado,Costilla,,"Mountain Home Lake, Fort Garland",,37.4289,-105.4333,,,,,,,,,2530,2530,,,,,,,,"2011-07-12 10:47:43",https://creativecommons.org/publicdomain/zero/1.0/,,,7116bebf-cf22-4897-8f6e-99077bdd2e5c,https://library.big-bee.net/portal/collections/individual/index.php?occid=209911
212884,KU,SEMC,,903ba65e-8420-4ffd-9dac-1215e88eb98b,PreservedSpecimen,37147536-1ed6-11e3-bfac-90b11c41863e,405714,,,Animalia,Arthropoda,Insecta,Hymenoptera,Andrenidae,"Calliopsis (Macronomadopsis) zebrata",2090,"Cresson, 1878",Calliopsis,,zebrata,,,,,Species,unknown,,,,,,,"Beamer, Raymond",,1949-07-09,,1949,7,9,190,,07/09/1949,,,,,,"US.CO.BeamerR1949.07.09 001",,,,,,,,adult,F,,,"Pinned - 1",,Nearctic,,,,"United States",,Colorado,Boulder,,Pinecliffe,,39.41,-105.3233,,,,,,,,,,,,,,,,,,"2011-07-12 10:49:18",https://creativecommons.org/publicdomain/zero/1.0/,,,ada85b4c-5048-49f8-9677-83091110f566,https://library.big-bee.net/portal/collections/individual/index.php?occid=212884
214909,KU,SEMC,,903ba65e-8420-4ffd-9dac-1215e88eb98b,PreservedSpecimen,376f02ba-1ed6-11e3-bfac-90b11c41863e,617061,,,Animalia,Arthropoda,Insecta,Hymenoptera,Andrenidae,"Calliopsis (Macronomadopsis) zebrata",2090,"Cresson, 1878",Calliopsis,,zebrata,,,,,Species,"Ascher, J",2005,,,,,,"Alexander, Byron",,1995-07-28,,1995,7,28,209,,07/28/1995,,,,,,"US.WY.AlexanderB1995.07.28 001",,,,,,,,adult,,,,"Pinned - 1",,Nearctic,,,,"United States",,Wyoming,Albany,,"Centennial, 3 km NW, Spruce Campground",,41.02,-106.02,,,,,,,,,2621,2621,,,,,,,,"2011-07-13 11:02:04",https://creativecommons.org/publicdomain/zero/1.0/,,,485c480d-b9ef-4451-b1e4-ad085c43158f,https://library.big-bee.net/portal/collections/individual/index.php?occid=214909
215070,KU,SEMC,,903ba65e-8420-4ffd-9dac-1215e88eb98b,PreservedSpecimen,37769caa-1ed6-11e3-bfac-90b11c41863e,617054,,,Animalia,Arthropoda,Insecta,Hymenoptera,Andrenidae,"Calliopsis (Macronomadopsis) zebrata",2090,"Cresson, 1878",Calliopsis,,zebrata,,,,,Species,"Ascher, J",2005,,,,,,"Alexander, Byron",,1995-07-28,,1995,7,28,209,,07/28/1995,,,,,,"US.WY.AlexanderB1995.07.28 001",,,,,,,,adult,,,,"Pinned - 1",,Nearctic,,,,"United States",,Wyoming,Albany,,"Centennial, 3 km NW, Spruce Campground",,41.02,-106.02,,,,,,,,,2621,2621,,,,,,,,"2011-07-13 11:02:13",https://creativecommons.org/publicdomain/zero/1.0/,,,807260f3-ddb2-4d12-89df-8baa5069311d,https://library.big-bee.net/portal/collections/individual/index.php?occid=215070
222106,KU,SEMC,,903ba65e-8420-4ffd-9dac-1215e88eb98b,PreservedSpecimen,38fee948-1ed6-11e3-bfac-90b11c41863e,405711,,,Animalia,Arthropoda,Insecta,Hymenoptera,Andrenidae,"Calliopsis (Macronomadopsis) zebrata",2090,"Cresson, 1878",Calliopsis,,zebrata,,,,,Species,unknown,,,,,,,"White, Jimmy",,1949-07-12,,1949,7,12,193,,07/12/1949,,,,,,"US.CO.WhiteJ1949.07.12 003",,,,,"Astragalus hallii",,,adult,M,,,"Pinned - 1",,Nearctic,,,,"United States",,Colorado,Grand,,Kremmling,,40.0589,-106.3883,,,,,,,,,,,,,,,,,,"2011-07-12 10:49:48",https://creativecommons.org/publicdomain/zero/1.0/,,,6b9542ba-48ba-48b9-9d13-d36d8e344c30,https://library.big-bee.net/portal/collections/individual/index.php?occid=222106
222684,KU,SEMC,,903ba65e-8420-4ffd-9dac-1215e88eb98b,PreservedSpecimen,39255591-1ed6-11e3-bfac-90b11c41863e,405729,,,Animalia,Arthropoda,Insecta,Hymenoptera,Andrenidae,"Calliopsis (Macronomadopsis) zebrata",2090,"Cresson, 1878",Calliopsis,,zebrata,,,,,Species,unknown,,,,,,,unknown,,1919-07-10,,1919,7,10,191,,07/10/1919,,,,,,,,,,,,,,adult,M,,,"Pinned - 1",,Nearctic,,,,"United States",,Colorado,Ouray,,Ridgeway,,38.15,-107.75,,,,,,,,,2134,2134,,,,,,,,"2011-07-12 10:49:56",https://creativecommons.org/publicdomain/zero/1.0/,,,b1746edc-668d-4b7e-8890-46182e2221d6,https://library.big-bee.net/portal/collections/individual/index.php?occid=222684
227064,KU,SEMC,,903ba65e-8420-4ffd-9dac-1215e88eb98b,PreservedSpecimen,39e9a788-1ed6-11e3-bfac-90b11c41863e,617055,,,Animalia,Arthropoda,Insecta,Hymenoptera,Andrenidae,"Calliopsis (Macronomadopsis) zebrata",2090,"Cresson, 1878",Calliopsis,,zebrata,,,,,Species,"Ascher, J",2005,,,,,,"Alexander, Byron",,1995-07-28,,1995,7,28,209,,07/28/1995,,,,,,"US.WY.AlexanderB1995.07.28 001",,,,,,,,adult,,,,"Pinned - 1",,Nearctic,,,,"United States",,Wyoming,Albany,,"Centennial, 3 km NW, Spruce Campground",,41.02,-106.02,,,,,,,,,2621,2621,,,,,,,,"2011-07-13 11:02:27",https://creativecommons.org/publicdomain/zero/1.0/,,,c66a90fd-13a5-4086-9ebc-c74368273c9b,https://library.big-bee.net/portal/collections/individual/index.php?occid=227064
243863,KU,SEMC,,903ba65e-8420-4ffd-9dac-1215e88eb98b,PreservedSpecimen,3ce12be3-1ed6-11e3-bfac-90b11c41863e,617059,,,Animalia,Arthropoda,Insecta,Hymenoptera,Andrenidae,"Calliopsis (Macronomadopsis) zebrata",2090,"Cresson, 1878",Calliopsis,,zebrata,,,,,Species,"Ascher, J",2005,,,,,,"Alexander, Byron",,1995-07-28,,1995,7,28,209,,07/28/1995,,,,,,"US.WY.AlexanderB1995.07.28 001",,,,,,,,adult,,,,"Pinned - 1",,Nearctic,,,,"United States",,Wyoming,Albany,,"Centennial, 3 km NW, Spruce Campground",,41.02,-106.02,,,,,,,,,2621,2621,,,,,,,,"2010-10-19 11:18:38",https://creativecommons.org/publicdomain/zero/1.0/,,,f2b44f68-f068-4316-8ccd-d5359e12b5a8,https://library.big-bee.net/portal/collections/individual/index.php?occid=243863
