coreid,identifiedBy,dateIdentified,identificationQualifier,scientificName,scientificNameAuthorship,genus,specificEpithet,taxonRank,infraspecificEpithet,identificationReferences,identificationRemarks,recordID,modified
102238,"Rozen, Jerome",s.d.,,"Calliopsis zonalis","Cresson, 1879",Calliopsis,zonalis,,,,,9785fa1c-7335-4366-857c-025cac72e7c3,"2023-06-20 14:31:37"
110975,"Rozen, Jerome",s.d.,,"Calliopsis zonalis","Cresson, 1879",Calliopsis,zonalis,,,,,75df7567-7bef-40b5-aa43-07679db92715,"2023-06-20 14:31:37"
132113,"Rozen, Jerome",s.d.,,"Calliopsis zonalis","Cresson, 1879",Calliopsis,zonalis,,,,,b0a4cc57-0a89-4758-9ce1-25f14f6fc7a9,"2023-06-20 14:31:37"
143185,"Rozen, Jerome",s.d.,,"Calliopsis zonalis","Cresson, 1879",Calliopsis,zonalis,,,,,42732edc-51b1-4935-bae2-52ea2636e1dc,"2023-06-20 14:31:37"
153959,"Rozen, Jerome",s.d.,,"Calliopsis zonalis","Cresson, 1879",Calliopsis,zonalis,,,,,d917311e-9425-4d6a-a1fd-474e33b74f66,"2023-06-20 14:31:37"
213879,"Rozen, Jerome",s.d.,,"Calliopsis zonalis","Cresson, 1879",Calliopsis,zonalis,,,,,dee066e1-fc54-4501-89c7-f7f5402f5cb1,"2023-06-20 14:31:37"
233534,"Rozen, Jerome",s.d.,,"Calliopsis zonalis","Cresson, 1879",Calliopsis,zonalis,,,,,091dfcae-c66e-4afc-9f30-011f7e12be43,"2023-06-20 14:31:37"
246275,"Rozen, Jerome",s.d.,,"Calliopsis zonalis","Cresson, 1879",Calliopsis,zonalis,,,,,89697341-63c6-4dda-bd85-1f1e97a47145,"2023-06-20 14:31:37"
249004,"Rozen, Jerome",s.d.,,"Calliopsis zonalis","Cresson, 1879",Calliopsis,zonalis,,,,,1dbd976c-b112-4178-882a-e88e65e5abab,"2023-06-20 14:31:37"
251010,"Rozen, Jerome",s.d.,,"Calliopsis zonalis","Cresson, 1879",Calliopsis,zonalis,,,,,3ef642f6-231f-4c6b-b6e2-e37917bf6dd1,"2023-06-20 14:31:37"
259026,"Rozen, Jerome",s.d.,,"Calliopsis zonalis","Cresson, 1879",Calliopsis,zonalis,,,,,985e6ffa-b476-4b17-b90f-b99cd513be16,"2023-06-20 14:31:37"
261981,"Rozen, Jerome",s.d.,,"Calliopsis zonalis","Cresson, 1879",Calliopsis,zonalis,,,,,9e210b38-6ba4-4865-8552-5832b1b438fe,"2023-06-20 14:31:37"
267558,"Rozen, Jerome",s.d.,,"Calliopsis zonalis","Cresson, 1879",Calliopsis,zonalis,,,,,f5c0e6a3-35f3-416d-a1ae-25d1ddbf6937,"2023-06-20 14:31:37"
271882,"Rozen, Jerome",s.d.,,"Calliopsis zonalis","Cresson, 1879",Calliopsis,zonalis,,,,,be502c14-c9ad-4f42-a6d6-3a38229c7ea7,"2023-06-20 14:31:37"
272677,"Rozen, Jerome",s.d.,,"Calliopsis zonalis","Cresson, 1879",Calliopsis,zonalis,,,,,2ae6d5fe-1a92-4b93-b061-6ced7adafca0,"2023-06-20 14:31:37"
769929,unknown,s.d.,,"Calliopsis zonalis","Cresson 1879",Calliopsis,zonalis,,,,,0620ff4c-18c0-4fc8-88eb-47ea4f9911af,"2023-06-20 14:31:37"
769930,unknown,s.d.,,"Calliopsis zonalis","Cresson 1879",Calliopsis,zonalis,,,,,88ea2997-0d01-4881-b4e0-47873768b5f4,"2023-06-20 14:31:37"
769931,unknown,s.d.,,"Calliopsis zonalis","Cresson 1879",Calliopsis,zonalis,,,,,fe2a234b-88f0-43bf-bfac-84eaa3f7209e,"2023-06-20 14:31:37"
769932,unknown,s.d.,,"Calliopsis zonalis","Cresson 1879",Calliopsis,zonalis,,,,,eb697b46-a3ff-4031-b632-c9c9b62df5ad,"2023-06-20 14:31:37"
769933,unknown,s.d.,,"Calliopsis zonalis","Cresson 1879",Calliopsis,zonalis,,,,,f6f63906-fc6a-4bd6-b425-02d4ed069d01,"2023-06-20 14:31:37"
769934,unknown,s.d.,,"Calliopsis zonalis","Cresson 1879",Calliopsis,zonalis,,,,,185a8543-1599-45f4-b557-e44f413331a4,"2023-06-20 14:31:37"
769935,unknown,s.d.,,"Calliopsis zonalis","Cresson 1879",Calliopsis,zonalis,,,,,d39b36b1-cad2-424a-8a15-aa505b5b4285,"2023-06-20 14:31:37"
769936,unknown,s.d.,,"Calliopsis zonalis","Cresson 1879",Calliopsis,zonalis,,,,,8fec8245-00dc-489d-926b-38af002cf17b,"2023-06-20 14:31:37"
769937,unknown,s.d.,,"Calliopsis zonalis","Cresson 1879",Calliopsis,zonalis,,,,,0e6b2696-d911-4e02-99e0-4f75155ac502,"2023-06-20 14:31:37"
769938,unknown,s.d.,,"Calliopsis zonalis","Cresson 1879",Calliopsis,zonalis,,,,,66e2a863-2ec1-484a-a8d7-620c1fb7ea36,"2023-06-20 14:31:37"
769939,unknown,s.d.,,"Calliopsis zonalis","Cresson 1879",Calliopsis,zonalis,,,,,99464606-dcc2-4bfb-8d34-df63e3362f2b,"2023-06-20 14:31:37"
777434,unknown,s.d.,,"Calliopsis zonalis zonalis","Cresson 1879",Calliopsis,zonalis,,,,,39f68995-b1e1-4c9b-9bac-2fa2cf4ba588,"2023-06-20 14:31:37"
