id,institutionCode,collectionCode,ownerInstitutionCode,collectionID,basisOfRecord,occurrenceID,catalogNumber,otherCatalogNumbers,higherClassification,kingdom,phylum,class,order,family,scientificName,taxonID,scientificNameAuthorship,genus,subgenus,specificEpithet,verbatimTaxonRank,infraspecificEpithet,cultivarEpithet,tradeName,taxonRank,identifiedBy,dateIdentified,identificationReferences,identificationRemarks,taxonRemarks,identificationQualifier,typeStatus,recordedBy,recordNumber,eventDate,eventtime,year,month,day,startDayOfYear,endDayOfYear,verbatimEventDate,occurrenceRemarks,habitat,behavior,vitality,fieldNumber,eventID,informationWithheld,dataGeneralizations,dynamicProperties,associatedSequences,associatedTaxa,reproductiveCondition,establishmentMeans,lifeStage,sex,individualCount,samplingProtocol,preparations,locationID,continent,waterBody,islandGroup,island,country,countryCode,stateProvince,county,municipality,locality,locationRemarks,decimalLatitude,decimalLongitude,geodeticDatum,coordinateUncertaintyInMeters,verbatimCoordinates,georeferencedBy,georeferenceProtocol,georeferenceSources,georeferenceVerificationStatus,georeferenceRemarks,minimumElevationInMeters,maximumElevationInMeters,minimumDepthInMeters,maximumDepthInMeters,verbatimDepth,verbatimElevation,disposition,language,recordEnteredBy,modified,rights,rightsHolder,accessRights,recordID,references
85776,KU,SEMC,,903ba65e-8420-4ffd-9dac-1215e88eb98b,PreservedSpecimen,17226086-1ed6-11e3-bfac-90b11c41863e,409057,,,Animalia,Arthropoda,Insecta,Hymenoptera,Andrenidae,"Perdita (Hexaperdita) callicerata",2521,"Cockerell, 1897",Perdita,,callicerata,,,,,Species,"Timberlake, P",,,,,,,"Univ. of Kans. Mex. Exped.",,1953-07-25,,1953,7,25,206,,07/25/1953,,,,,,,,,,,,,,adult,F,,,"Pinned - 1",,Neotropical,,,,Mexico,,Durango,,,"San Juan del Rio",,,,,,,,,,,,1646,1646,,,,,,,,"2010-10-18 03:56:48",https://creativecommons.org/publicdomain/zero/1.0/,,,af0835d8-44a2-43dc-861e-9e81524c5f1f,https://library.big-bee.net/portal/collections/individual/index.php?occid=85776
86049,KU,SEMC,,903ba65e-8420-4ffd-9dac-1215e88eb98b,PreservedSpecimen,17274f17-1ed6-11e3-bfac-90b11c41863e,409074,,,Animalia,Arthropoda,Insecta,Hymenoptera,Andrenidae,"Perdita (Hexaperdita) callicerata",2521,"Cockerell, 1897",Perdita,,callicerata,,,,,Species,"Timberlake, P",,,,,,,"Univ. of Kans. Mex. Exped.",,1953-07-25,,1953,7,25,206,,07/25/1953,,,,,,,,,,,,,,adult,F,,,"Pinned - 1",,Neotropical,,,,Mexico,,Durango,,,"San Juan del Rio",,,,,,,,,,,,1646,1646,,,,,,,,"2010-10-18 03:56:59",https://creativecommons.org/publicdomain/zero/1.0/,,,22c676b4-5bd8-41b8-8c47-56bc08953cb5,https://library.big-bee.net/portal/collections/individual/index.php?occid=86049
86294,KU,SEMC,,903ba65e-8420-4ffd-9dac-1215e88eb98b,PreservedSpecimen,172bde57-1ed6-11e3-bfac-90b11c41863e,409250,,,Animalia,Arthropoda,Insecta,Hymenoptera,Andrenidae,"Perdita (Hexaperdita) callicerata",2521,"Cockerell, 1897",Perdita,,callicerata,,,,,Species,"Danforth, Bryan",,,,,,,"Danforth, Bryan",,1987-07-26,,1987,7,26,207,,07/26/1987,,,,,,"US.AZ.DanforthB1987.07.26 004",,,,,Baileya,,,adult,F,,,"Pinned - 1",,Nearctic,,,,"United States",,Arizona,Cochise,,"Portal, 11.3 km N",,34.4146,-109.1408,,,,,,,,,,,,,,,,,,"2010-10-18 03:57:09",https://creativecommons.org/publicdomain/zero/1.0/,,,63d29d28-7e57-4a66-a0ae-a8fc1d37c9e7,https://library.big-bee.net/portal/collections/individual/index.php?occid=86294
86545,KU,SEMC,,903ba65e-8420-4ffd-9dac-1215e88eb98b,PreservedSpecimen,17325c62-1ed6-11e3-bfac-90b11c41863e,409372,,,Animalia,Arthropoda,Insecta,Hymenoptera,Andrenidae,"Perdita (Hexaperdita) callicerata",2521,"Cockerell, 1897",Perdita,,callicerata,,,,,Species,"Danforth, Bryan",,,,,,,"Danforth, Bryan",,1987-06-13,,1987,6,13,164,,06/13/1987,,,,,,"US.AZ.DanforthB1987.06.13 001",,,,,Baileya,,,adult,M,,,"Pinned - 1",,Nearctic,,,,"United States",,Arizona,Cochise,,"Douglas, 8.1 km NE",,31.39,-109.49,,,,,,,,,,,,,,,,,,"2010-10-18 03:57:23",https://creativecommons.org/publicdomain/zero/1.0/,,,284da977-19bb-4cfc-82e6-ad02bea135b5,https://library.big-bee.net/portal/collections/individual/index.php?occid=86545
86828,KU,SEMC,,903ba65e-8420-4ffd-9dac-1215e88eb98b,PreservedSpecimen,1736d9e1-1ed6-11e3-bfac-90b11c41863e,409276,,,Animalia,Arthropoda,Insecta,Hymenoptera,Andrenidae,"Perdita (Hexaperdita) callicerata",2521,"Cockerell, 1897",Perdita,,callicerata,,,,,Species,"Danforth, Bryan",,,,,,,"Danforth, Bryan",,1988-06-30,,1988,6,30,182,,06/30/1988,,,,,,"US.CA.DanforthB1988.06.30 003",,,,,Baileya,,,adult,F,,,"Pinned - 1",,Nearctic,,,,"United States",,California,"San Bernardino",,"Cima, 1.7 km S",,35.22,-115.5,,,,,,,,,,,,,,,,,,"2010-10-18 03:57:38",https://creativecommons.org/publicdomain/zero/1.0/,,,5476b590-bffb-43d3-8af1-1121d667454e,https://library.big-bee.net/portal/collections/individual/index.php?occid=86828
86957,KU,SEMC,,903ba65e-8420-4ffd-9dac-1215e88eb98b,PreservedSpecimen,17399d22-1ed6-11e3-bfac-90b11c41863e,409127,,,Animalia,Arthropoda,Insecta,Hymenoptera,Andrenidae,"Perdita (Hexaperdita) callicerata",2521,"Cockerell, 1897",Perdita,,callicerata,,,,,Species,"Timberlake, P",,,,,,,"Univ. of Kans. Mex. Exped.",,1953-07-25,,1953,7,25,206,,07/25/1953,,,,,,"MEX.UKME1953.07.25 004",,,,,"Baileya multiradiata",,,adult,M,,,"Pinned - 1",,Neotropical,,,,Mexico,,Durango,,,"Rodeo, 12 mi N",,,,,,,,,,,,4300,4300,,,,,,,,"2010-10-18 03:57:45",https://creativecommons.org/publicdomain/zero/1.0/,,,f8bb2a94-6782-4446-bc9b-3a3dfd1bdeaf,https://library.big-bee.net/portal/collections/individual/index.php?occid=86957
87527,KU,SEMC,,903ba65e-8420-4ffd-9dac-1215e88eb98b,PreservedSpecimen,174769cb-1ed6-11e3-bfac-90b11c41863e,409218,,,Animalia,Arthropoda,Insecta,Hymenoptera,Andrenidae,"Perdita (Hexaperdita) callicerata",2521,"Cockerell, 1897",Perdita,,callicerata,,,,,Species,"Timberlake, P",,,,,,,"Michener, Charles",,1964-08-18,,1964,8,18,231,,08/18/1964,,,,,,"US.AZ.MichenerC1964.08.18 009",,,,,"Baileya multiradiata",,,adult,F,,,"Pinned - 1",,Nearctic,,,,"United States",,Arizona,Cochise,,"Douglas, 16 mi NE",,31.508,-109.3529,,,,,,,,,,,,,,,,,,"2010-10-18 03:58:20",https://creativecommons.org/publicdomain/zero/1.0/,,,88010eae-40a3-437f-b88d-f132e1261aeb,https://library.big-bee.net/portal/collections/individual/index.php?occid=87527
87832,KU,SEMC,,903ba65e-8420-4ffd-9dac-1215e88eb98b,PreservedSpecimen,174c67c1-1ed6-11e3-bfac-90b11c41863e,409026,,,Animalia,Arthropoda,Insecta,Hymenoptera,Andrenidae,"Perdita (Hexaperdita) callicerata",2521,"Cockerell, 1897",Perdita,,callicerata,,,,,Species,"Timberlake, P",,,,,,,"Knowlton, George",,1964-06-19,,1964,6,19,171,,06/19/1964,,,,,,"US.UT.KnowltonG1964.06.19 001",,,,,,,,adult,F,,,"Pinned - 1",,Nearctic,,,,"United States",,Utah,Washington,,"Snow Canyon",,37.2061,-113.6492,,,,,,,,,,,,,,,,,,"2010-10-18 03:58:36",https://creativecommons.org/publicdomain/zero/1.0/,,,e437a218-1e6e-423f-8971-d7bedbeb488f,https://library.big-bee.net/portal/collections/individual/index.php?occid=87832
87951,KU,SEMC,,903ba65e-8420-4ffd-9dac-1215e88eb98b,PreservedSpecimen,174e52cb-1ed6-11e3-bfac-90b11c41863e,409092,,,Animalia,Arthropoda,Insecta,Hymenoptera,Andrenidae,"Perdita (Hexaperdita) callicerata",2521,"Cockerell, 1897",Perdita,,callicerata,,,,,Species,"Timberlake, P",,,,,,,"Univ. of Kans. Mex. Exped.",,1953-07-25,,1953,7,25,206,,07/25/1953,,,,,,,,,,,,,,adult,M,,,"Pinned - 1",,Neotropical,,,,Mexico,,Durango,,,"San Juan del Rio",,,,,,,,,,,,1646,1646,,,,,,,,"2010-10-18 03:58:42",https://creativecommons.org/publicdomain/zero/1.0/,,,ea6218e9-b63d-45c4-adb5-c940493cd276,https://library.big-bee.net/portal/collections/individual/index.php?occid=87951
87972,KU,SEMC,,903ba65e-8420-4ffd-9dac-1215e88eb98b,PreservedSpecimen,174e90b3-1ed6-11e3-bfac-90b11c41863e,409184,,,Animalia,Arthropoda,Insecta,Hymenoptera,Andrenidae,"Perdita (Hexaperdita) callicerata",2521,"Cockerell, 1897",Perdita,,callicerata,,,,,Species,"Timberlake, P",,,,,,,"Univ. of Kans. Mex. Exped.",,1953-07-25,,1953,7,25,206,,07/25/1953,,,,,,"MEX.UKME1953.07.25 004",,,,,"Baileya multiradiata",,,adult,F,,,"Pinned - 1",,Neotropical,,,,Mexico,,Durango,,,"Rodeo, 12 mi N",,,,,,,,,,,,4300,4300,,,,,,,,"2010-10-18 03:58:43",https://creativecommons.org/publicdomain/zero/1.0/,,,fae4d932-ca95-4bfa-bf65-aed3b2c9e8ec,https://library.big-bee.net/portal/collections/individual/index.php?occid=87972
