coreid,identifiedBy,dateIdentified,identificationQualifier,scientificName,scientificNameAuthorship,genus,specificEpithet,taxonRank,infraspecificEpithet,identificationReferences,identificationRemarks,recordID,modified
293664,unknown,s.d.,,"Perdita holoxantha","Timberlake, 1962",Perdita,holoxantha,,,,,811a5886-6891-4e2a-8fe7-c49d3f9d2dd3,"2023-06-20 14:31:37"
1078454,"T.L. Griswold 2000",s.d.,,"Perdita holoxantha","Timberlake 1962",Perdita,holoxantha,,,,,919251ba-9500-4ec4-a566-81e94a011add,"2023-06-20 14:31:37"
1078455,unknown,s.d.,,"Perdita holoxantha","Timberlake 1962",Perdita,holoxantha,,,,,dd3b7392-d6f8-45b1-b904-673b14c04289,"2023-06-20 14:31:37"
1078456,unknown,s.d.,,"Perdita holoxantha","Timberlake 1962",Perdita,holoxantha,,,,,ea6062e6-cad8-4c47-b060-ffc045bd385d,"2023-06-20 14:31:37"
1078457,unknown,s.d.,,"Perdita holoxantha","Timberlake 1962",Perdita,holoxantha,,,,,ebe0232e-40f1-4e23-a809-c84ecf311f1e,"2023-06-20 14:31:37"
1078458,unknown,s.d.,,"Perdita holoxantha","Timberlake 1962",Perdita,holoxantha,,,,,923a698a-7c6a-4b9b-832e-95caa4ea8935,"2023-06-20 14:31:37"
1078459,unknown,s.d.,,"Perdita holoxantha","Timberlake 1962",Perdita,holoxantha,,,,,e88728d5-cc00-45da-833f-7c5a3c472bcb,"2023-06-20 14:31:37"
1078460,unknown,s.d.,,"Perdita holoxantha","Timberlake 1962",Perdita,holoxantha,,,,,2f517ec4-c96a-4b70-9701-fbf601acf372,"2023-06-20 14:31:37"
1078461,unknown,s.d.,,"Perdita holoxantha","Timberlake 1962",Perdita,holoxantha,,,,,7fa62532-9d6b-4b0e-a463-01cf9a565432,"2023-06-20 14:31:37"
1078462,unknown,s.d.,,"Perdita holoxantha","Timberlake 1962",Perdita,holoxantha,,,,,12d2e1af-a664-480a-818d-19813c9f4da9,"2023-06-20 14:31:37"
1078463,unknown,s.d.,,"Perdita holoxantha","Timberlake 1962",Perdita,holoxantha,,,,,9e312989-3c08-4cdc-bf28-f21eb5263f82,"2023-06-20 14:31:37"
1078464,unknown,s.d.,,"Perdita holoxantha","Timberlake 1962",Perdita,holoxantha,,,,,0fc2d4df-6ed9-4a27-8835-f1f4cde42d51,"2023-06-20 14:31:37"
1078465,unknown,s.d.,,"Perdita holoxantha","Timberlake 1962",Perdita,holoxantha,,,,,ae04701f-d7dc-4e80-b49a-453ca202f83f,"2023-06-20 14:31:37"
1078466,unknown,s.d.,,"Perdita holoxantha","Timberlake 1962",Perdita,holoxantha,,,,,61e46190-802b-4a06-8f41-20e8aa30c959,"2023-06-20 14:31:37"
1078467,unknown,s.d.,,"Perdita holoxantha","Timberlake 1962",Perdita,holoxantha,,,,,0f7b91c4-b010-45bd-864d-798c99612d14,"2023-06-20 14:31:37"
