coreid,identifier,accessURI,thumbnailAccessURI,goodQualityAccessURI,format,type,subtype,rights,Owner,creator,UsageTerms,WebStatement,caption,comments,tag,providerManagedID,MetadataDate,associatedSpecimenReference,metadataLanguage
97994,http://biimages.biodiversity.ku.edu/static/Entomology/originals/sp61293278068877036261.att.JPG,http://biimages.biodiversity.ku.edu/static/Entomology/originals/sp61293278068877036261.att.JPG,https://media01.symbiota.org/media/bigbee/misc/202204/sp61293278068877036261att_1649435753_tn.jpg,http://biimages.biodiversity.ku.edu/static/Entomology/originals/sp61293278068877036261.att.JPG,image/jpeg,StillImage,Photograph,,"University of Kansas Natural History Museum Entomology Division (KU-KU)",,"CC0 1.0 (Public-domain)",https://creativecommons.org/publicdomain/zero/1.0/,,,,urn:uuid:44d418b1-6b6e-4ec7-a8be-891f3a0997e2,"2021-11-02 18:27:18",https://library.big-bee.net/portal/collections/individual/index.php?occid=97994,en
118539,http://biimages.biodiversity.ku.edu/static/Entomology/originals/sp61293278068877036261.att.JPG,http://biimages.biodiversity.ku.edu/static/Entomology/originals/sp61293278068877036261.att.JPG,http://biimages.biodiversity.ku.edu/static/Entomology/originals/sp61293278068877036261.att.JPG,http://biimages.biodiversity.ku.edu/static/Entomology/originals/sp61293278068877036261.att.JPG,image/jpeg,StillImage,Photograph,,"University of Kansas Natural History Museum Entomology Division (KU-KU)",,"CC0 1.0 (Public-domain)",https://creativecommons.org/publicdomain/zero/1.0/,,,,urn:uuid:f5423ebe-ac82-40c2-bb0c-6568be7770ff,"2021-11-02 18:27:18",https://library.big-bee.net/portal/collections/individual/index.php?occid=118539,en
124941,http://biimages.biodiversity.ku.edu/static/Entomology/originals/sp61293278068877036261.att.JPG,http://biimages.biodiversity.ku.edu/static/Entomology/originals/sp61293278068877036261.att.JPG,https://media01.symbiota.org/media/bigbee/misc/202204/sp61293278068877036261att_1649378070_tn.jpg,http://biimages.biodiversity.ku.edu/static/Entomology/originals/sp61293278068877036261.att.JPG,image/jpeg,StillImage,Photograph,,"University of Kansas Natural History Museum Entomology Division (KU-KU)",,"CC0 1.0 (Public-domain)",https://creativecommons.org/publicdomain/zero/1.0/,,,,urn:uuid:b7cf7ecc-9ed7-4b32-9fbd-6af01b1ac9a2,"2021-11-02 18:27:18",https://library.big-bee.net/portal/collections/individual/index.php?occid=124941,en
155611,http://biimages.biodiversity.ku.edu/static/Entomology/originals/sp61293278068877036261.att.JPG,http://biimages.biodiversity.ku.edu/static/Entomology/originals/sp61293278068877036261.att.JPG,https://media01.symbiota.org/media/bigbee/misc/202204/sp61293278068877036261att_1649353635_tn.jpg,http://biimages.biodiversity.ku.edu/static/Entomology/originals/sp61293278068877036261.att.JPG,image/jpeg,StillImage,Photograph,,"University of Kansas Natural History Museum Entomology Division (KU-KU)",,"CC0 1.0 (Public-domain)",https://creativecommons.org/publicdomain/zero/1.0/,,,,urn:uuid:95eaf145-e5eb-475d-9595-92c0917d1d3a,"2021-11-02 18:27:18",https://library.big-bee.net/portal/collections/individual/index.php?occid=155611,en
156717,http://biimages.biodiversity.ku.edu/static/Entomology/originals/sp61293278068877036261.att.JPG,http://biimages.biodiversity.ku.edu/static/Entomology/originals/sp61293278068877036261.att.JPG,https://media01.symbiota.org/media/bigbee/misc/202204/sp61293278068877036261att_1649415697_tn.jpg,http://biimages.biodiversity.ku.edu/static/Entomology/originals/sp61293278068877036261.att.JPG,image/jpeg,StillImage,Photograph,,"University of Kansas Natural History Museum Entomology Division (KU-KU)",,"CC0 1.0 (Public-domain)",https://creativecommons.org/publicdomain/zero/1.0/,,,,urn:uuid:bc48d47b-18c7-466c-a928-37c6ad4eb972,"2021-11-02 18:27:18",https://library.big-bee.net/portal/collections/individual/index.php?occid=156717,en
160700,http://biimages.biodiversity.ku.edu/static/Entomology/originals/sp61293278068877036261.att.JPG,http://biimages.biodiversity.ku.edu/static/Entomology/originals/sp61293278068877036261.att.JPG,http://biimages.biodiversity.ku.edu/static/Entomology/originals/sp61293278068877036261.att.JPG,http://biimages.biodiversity.ku.edu/static/Entomology/originals/sp61293278068877036261.att.JPG,image/jpeg,StillImage,Photograph,,"University of Kansas Natural History Museum Entomology Division (KU-KU)",,"CC0 1.0 (Public-domain)",https://creativecommons.org/publicdomain/zero/1.0/,,,,urn:uuid:7501e8dd-8123-4e51-ade7-966e7dc74dbb,"2021-11-02 18:27:18",https://library.big-bee.net/portal/collections/individual/index.php?occid=160700,en
163450,http://biimages.biodiversity.ku.edu/static/Entomology/originals/sp61293278068877036261.att.JPG,http://biimages.biodiversity.ku.edu/static/Entomology/originals/sp61293278068877036261.att.JPG,http://biimages.biodiversity.ku.edu/static/Entomology/originals/sp61293278068877036261.att.JPG,http://biimages.biodiversity.ku.edu/static/Entomology/originals/sp61293278068877036261.att.JPG,image/jpeg,StillImage,Photograph,,"University of Kansas Natural History Museum Entomology Division (KU-KU)",,"CC0 1.0 (Public-domain)",https://creativecommons.org/publicdomain/zero/1.0/,,,,urn:uuid:232fa563-73c5-488d-9809-fef4d5baa430,"2021-11-02 18:27:18",https://library.big-bee.net/portal/collections/individual/index.php?occid=163450,en
204949,http://biimages.biodiversity.ku.edu/static/Entomology/originals/sp61293278068877036261.att.JPG,http://biimages.biodiversity.ku.edu/static/Entomology/originals/sp61293278068877036261.att.JPG,http://biimages.biodiversity.ku.edu/static/Entomology/originals/sp61293278068877036261.att.JPG,http://biimages.biodiversity.ku.edu/static/Entomology/originals/sp61293278068877036261.att.JPG,image/jpeg,StillImage,Photograph,,"University of Kansas Natural History Museum Entomology Division (KU-KU)",,"CC0 1.0 (Public-domain)",https://creativecommons.org/publicdomain/zero/1.0/,,,,urn:uuid:29e2f554-4cbd-4611-8b49-483acd9fb184,"2021-11-02 18:27:18",https://library.big-bee.net/portal/collections/individual/index.php?occid=204949,en
225828,http://biimages.biodiversity.ku.edu/static/Entomology/originals/sp61293278068877036261.att.JPG,http://biimages.biodiversity.ku.edu/static/Entomology/originals/sp61293278068877036261.att.JPG,http://biimages.biodiversity.ku.edu/static/Entomology/originals/sp61293278068877036261.att.JPG,http://biimages.biodiversity.ku.edu/static/Entomology/originals/sp61293278068877036261.att.JPG,image/jpeg,StillImage,Photograph,,"University of Kansas Natural History Museum Entomology Division (KU-KU)",,"CC0 1.0 (Public-domain)",https://creativecommons.org/publicdomain/zero/1.0/,,,,urn:uuid:011121b6-cd73-47c1-ae1b-a1d57d16231e,"2021-11-02 18:27:18",https://library.big-bee.net/portal/collections/individual/index.php?occid=225828,en
247927,http://biimages.biodiversity.ku.edu/static/Entomology/originals/sp61293278068877036261.att.JPG,http://biimages.biodiversity.ku.edu/static/Entomology/originals/sp61293278068877036261.att.JPG,https://media01.symbiota.org/media/bigbee/misc/202204/sp61293278068877036261att_1649373011_tn.jpg,http://biimages.biodiversity.ku.edu/static/Entomology/originals/sp61293278068877036261.att.JPG,image/jpeg,StillImage,Photograph,,"University of Kansas Natural History Museum Entomology Division (KU-KU)",,"CC0 1.0 (Public-domain)",https://creativecommons.org/publicdomain/zero/1.0/,,,,urn:uuid:fc89979d-93ae-4699-91e4-2c1899c7263a,"2021-11-02 18:27:18",https://library.big-bee.net/portal/collections/individual/index.php?occid=247927,en
274667,http://biimages.biodiversity.ku.edu/static/Entomology/originals/sp61293278068877036261.att.JPG,http://biimages.biodiversity.ku.edu/static/Entomology/originals/sp61293278068877036261.att.JPG,http://biimages.biodiversity.ku.edu/static/Entomology/originals/sp61293278068877036261.att.JPG,http://biimages.biodiversity.ku.edu/static/Entomology/originals/sp61293278068877036261.att.JPG,image/jpeg,StillImage,Photograph,,"University of Kansas Natural History Museum Entomology Division (KU-KU)",,"CC0 1.0 (Public-domain)",https://creativecommons.org/publicdomain/zero/1.0/,,,,urn:uuid:4b0bbf43-69ef-43d7-a511-42f28aa99951,"2021-11-02 18:27:18",https://library.big-bee.net/portal/collections/individual/index.php?occid=274667,en
329864,http://biimages.biodiversity.ku.edu/static/Entomology/originals/sp61293278068877036261.att.JPG,http://biimages.biodiversity.ku.edu/static/Entomology/originals/sp61293278068877036261.att.JPG,https://media01.symbiota.org/media/bigbee/misc/202204/sp61293278068877036261att_1649372760_tn.jpg,http://biimages.biodiversity.ku.edu/static/Entomology/originals/sp61293278068877036261.att.JPG,image/jpeg,StillImage,Photograph,,"University of Kansas Natural History Museum Entomology Division (KU-KU)",,"CC0 1.0 (Public-domain)",https://creativecommons.org/publicdomain/zero/1.0/,,,,urn:uuid:86634947-2480-4832-82d6-2c4af61c12e6,"2021-11-02 18:27:18",https://library.big-bee.net/portal/collections/individual/index.php?occid=329864,en
329864,http://biimages.biodiversity.ku.edu/static/Entomology/originals/sp65324815496189946126.att.JPG,http://biimages.biodiversity.ku.edu/static/Entomology/originals/sp65324815496189946126.att.JPG,https://media01.symbiota.org/media/bigbee/KU_SEMC/01111/sp65324815496189946126att_1749884892_tn.jpg,,image/jpeg,StillImage,Photograph,https://creativecommons.org/publicdomain/zero/1.0/,"University of Kansas Biodiversity Institute",,"CC0 1.0 (Public-domain)",http://biodiversity.ku.edu/research/university-kansas-biodiversity-institute-data-publication-and-use-norms,Perdita_xanthochroa_holotype_label,,,urn:uuid:e56df8d5-e318-4484-96db-50bf2e4a955e,"2025-06-13 16:22:56",https://library.big-bee.net/portal/collections/individual/index.php?occid=329864,en
