id,institutionCode,collectionCode,ownerInstitutionCode,collectionID,basisOfRecord,occurrenceID,catalogNumber,otherCatalogNumbers,higherClassification,kingdom,phylum,class,order,family,scientificName,taxonID,scientificNameAuthorship,genus,subgenus,specificEpithet,verbatimTaxonRank,infraspecificEpithet,cultivarEpithet,tradeName,taxonRank,identifiedBy,dateIdentified,identificationReferences,identificationRemarks,taxonRemarks,identificationQualifier,typeStatus,recordedBy,recordNumber,eventDate,eventtime,year,month,day,startDayOfYear,endDayOfYear,verbatimEventDate,occurrenceRemarks,habitat,behavior,vitality,fieldNumber,eventID,informationWithheld,dataGeneralizations,dynamicProperties,associatedSequences,associatedTaxa,reproductiveCondition,establishmentMeans,lifeStage,sex,individualCount,samplingProtocol,preparations,locationID,continent,waterBody,islandGroup,island,country,countryCode,stateProvince,county,municipality,locality,locationRemarks,decimalLatitude,decimalLongitude,geodeticDatum,coordinateUncertaintyInMeters,verbatimCoordinates,georeferencedBy,georeferenceProtocol,georeferenceSources,georeferenceVerificationStatus,georeferenceRemarks,minimumElevationInMeters,maximumElevationInMeters,minimumDepthInMeters,maximumDepthInMeters,verbatimDepth,verbatimElevation,disposition,language,recordEnteredBy,modified,rights,rightsHolder,accessRights,recordID,references
88518,KU,SEMC,,903ba65e-8420-4ffd-9dac-1215e88eb98b,PreservedSpecimen,1758c8a5-1ed6-11e3-bfac-90b11c41863e,217344,,,Animalia,Arthropoda,Insecta,Hymenoptera,Andrenidae,"Perdita (Perdita) xanthochroa",20295,"Timberlake, 1960",Perdita,,xanthochroa,,,,,Species,"Timberlake, P",,,,,,Paratype,"Michener, Charles",,1950-06-24,,1950,6,24,175,,06/24/1950,,,,,,"US.UT.MichenerC1950.06.24 002",,,,,"Sphaeralcea ambigua",,,adult,unknown,,,"Pinned - 1",,Nearctic,,,,"United States",,Utah,Uintah,,"Vernal, 10 mi W",,40.4556,-109.7181,,,,,,,,,,,,,,,,,,"2010-10-18 03:59:11",https://creativecommons.org/publicdomain/zero/1.0/,,,5f6a2bef-ca81-4ddf-98cf-620dfc337ef8,https://library.big-bee.net/portal/collections/individual/index.php?occid=88518
88543,KU,SEMC,,903ba65e-8420-4ffd-9dac-1215e88eb98b,PreservedSpecimen,175912af-1ed6-11e3-bfac-90b11c41863e,217351,,,Animalia,Arthropoda,Insecta,Hymenoptera,Andrenidae,"Perdita (Perdita) xanthochroa",20295,"Timberlake, 1960",Perdita,,xanthochroa,,,,,Species,"Timberlake, P",,,,,,Paratype,"Michener, Charles",,1950-06-23,,1950,6,23,174,,06/23/1950,,,,,,"US.CO.MichenerC1950.06.23 003",,,,,"Stanleya pinnata",,,adult,unknown,,,"Pinned - 1",,Nearctic,,,,"United States",,Colorado,Moffat,,"Elk Springs",,40.8558,-108.7744,,,,,,,,,,,,,,,,,,"2010-10-18 03:59:12",https://creativecommons.org/publicdomain/zero/1.0/,,,2aae3313-ba13-48c3-85ca-667e574e24b3,https://library.big-bee.net/portal/collections/individual/index.php?occid=88543
97994,KU,SEMC,,903ba65e-8420-4ffd-9dac-1215e88eb98b,PreservedSpecimen,18c73bff-1ed6-11e3-bfac-90b11c41863e,217332,,,Animalia,Arthropoda,Insecta,Hymenoptera,Andrenidae,"Perdita (Perdita) xanthochroa",20295,"Timberlake, 1960",Perdita,,xanthochroa,,,,,Species,"Timberlake, P",,,,,,Paratype,"Michener, Charles",,1950-06-23,,1950,6,23,174,,06/23/1950,,,,,,"US.UT.MichenerC1950.06.23 005",,,,,"Sphaeralcea ambigua",,,adult,unknown,,,"Pinned - 1",,Nearctic,,,,"United States",,Utah,Sevier,,"Jensen, 10 mi E",,38.7236,-111.9125,,,,,,,,,,,,,,,,,,"2010-10-18 04:07:48",https://creativecommons.org/publicdomain/zero/1.0/,,,ec38ab97-ee9e-44c9-958e-5dc74fff2b8b,https://library.big-bee.net/portal/collections/individual/index.php?occid=97994
99575,KU,SEMC,,903ba65e-8420-4ffd-9dac-1215e88eb98b,PreservedSpecimen,1911da8c-1ed6-11e3-bfac-90b11c41863e,217341,,,Animalia,Arthropoda,Insecta,Hymenoptera,Andrenidae,"Perdita (Perdita) xanthochroa",20295,"Timberlake, 1960",Perdita,,xanthochroa,,,,,Species,"Timberlake, P",,,,,,Paratype,"Michener, Charles",,1950-06-24,,1950,6,24,175,,06/24/1950,,,,,,"US.UT.MichenerC1950.06.24 002",,,,,"Sphaeralcea ambigua",,,adult,unknown,,,"Pinned - 1",,Nearctic,,,,"United States",,Utah,Uintah,,"Vernal, 10 mi W",,40.4556,-109.7181,,,,,,,,,,,,,,,,,,"2010-10-18 04:09:13",https://creativecommons.org/publicdomain/zero/1.0/,,,72232ab4-fd1d-4176-b984-136a75938e4e,https://library.big-bee.net/portal/collections/individual/index.php?occid=99575
102047,KU,SEMC,,903ba65e-8420-4ffd-9dac-1215e88eb98b,PreservedSpecimen,197a6ac9-1ed6-11e3-bfac-90b11c41863e,217349,,,Animalia,Arthropoda,Insecta,Hymenoptera,Andrenidae,"Perdita (Perdita) xanthochroa",20295,"Timberlake, 1960",Perdita,,xanthochroa,,,,,Species,"Timberlake, P",,,,,,Paratype,"Michener, Charles",,1950-06-24,,1950,6,24,175,,06/24/1950,,,,,,"US.UT.MichenerC1950.06.24 002",,,,,"Sphaeralcea ambigua",,,adult,unknown,,,"Pinned - 1",,Nearctic,,,,"United States",,Utah,Uintah,,"Vernal, 10 mi W",,40.4556,-109.7181,,,,,,,,,,,,,,,,,,"2010-10-18 04:11:28",https://creativecommons.org/publicdomain/zero/1.0/,,,2f30c9ab-1075-41ee-8f6a-2ed5d2f8e7f6,https://library.big-bee.net/portal/collections/individual/index.php?occid=102047
115993,KU,SEMC,,903ba65e-8420-4ffd-9dac-1215e88eb98b,PreservedSpecimen,1bdf90b4-1ed6-11e3-bfac-90b11c41863e,217339,,,Animalia,Arthropoda,Insecta,Hymenoptera,Andrenidae,"Perdita (Perdita) xanthochroa",20295,"Timberlake, 1960",Perdita,,xanthochroa,,,,,Species,"Timberlake, P",,,,,,Paratype,"Michener, Charles",,1950-06-24,,1950,6,24,175,,06/24/1950,,,,,,"US.UT.MichenerC1950.06.24 002",,,,,"Sphaeralcea ambigua",,,adult,unknown,,,"Pinned - 1",,Nearctic,,,,"United States",,Utah,Uintah,,"Vernal, 10 mi W",,40.4556,-109.7181,,,,,,,,,,,,,,,,,,"2010-10-18 04:24:53",https://creativecommons.org/publicdomain/zero/1.0/,,,4bf51c88-7660-4c8b-99c7-23dc0e072c1a,https://library.big-bee.net/portal/collections/individual/index.php?occid=115993
118539,KU,SEMC,,903ba65e-8420-4ffd-9dac-1215e88eb98b,PreservedSpecimen,1c5b18c9-1ed6-11e3-bfac-90b11c41863e,217328,,,Animalia,Arthropoda,Insecta,Hymenoptera,Andrenidae,"Perdita (Perdita) xanthochroa",20295,"Timberlake, 1960",Perdita,,xanthochroa,,,,,Species,"Timberlake, P",,,,,,Paratype,"Michener, Charles",,1950-06-23,,1950,6,23,174,,06/23/1950,,,,,,"US.UT.MichenerC1950.06.23 005",,,,,"Sphaeralcea ambigua",,,adult,unknown,,,"Pinned - 1",,Nearctic,,,,"United States",,Utah,Sevier,,"Jensen, 10 mi E",,38.7236,-111.9125,,,,,,,,,,,,,,,,,,"2010-10-18 04:27:31",https://creativecommons.org/publicdomain/zero/1.0/,,,e9d53a6a-c636-4503-8862-44e1cd7ac748,https://library.big-bee.net/portal/collections/individual/index.php?occid=118539
122461,KU,SEMC,,903ba65e-8420-4ffd-9dac-1215e88eb98b,PreservedSpecimen,1d088065-1ed6-11e3-bfac-90b11c41863e,217353,,,Animalia,Arthropoda,Insecta,Hymenoptera,Andrenidae,"Perdita (Perdita) xanthochroa",20295,"Timberlake, 1960",Perdita,,xanthochroa,,,,,Species,"Timberlake, P",,,,,,,"Bohart, George",,1963-06-10,,1963,6,10,161,,06/10/1963,,,,,,"US.UT.BohartG1963.06.10 001",,,,,Sphaeralcea,,,adult,unknown,,,"Pinned - 1",,Nearctic,,,,"United States",,Utah,Grand,,Moab,,38.5733,-109.5492,,,,,,,,,,,,,,,,,,"2010-10-18 04:31:23",https://creativecommons.org/publicdomain/zero/1.0/,,,a109e57d-7120-4844-b9b3-ba28776bc45e,https://library.big-bee.net/portal/collections/individual/index.php?occid=122461
124941,KU,SEMC,,903ba65e-8420-4ffd-9dac-1215e88eb98b,PreservedSpecimen,1d775e30-1ed6-11e3-bfac-90b11c41863e,217338,,,Animalia,Arthropoda,Insecta,Hymenoptera,Andrenidae,"Perdita (Perdita) xanthochroa",20295,"Timberlake, 1960",Perdita,,xanthochroa,,,,,Species,"Timberlake, P",,,,,,Paratype,"Michener, Charles",,1950-06-23,,1950,6,23,174,,06/23/1950,,,,,,"US.UT.MichenerC1950.06.23 005",,,,,"Sphaeralcea ambigua",,,adult,unknown,,,"Pinned - 1",,Nearctic,,,,"United States",,Utah,Sevier,,"Jensen, 10 mi E",,38.7236,-111.9125,,,,,,,,,,,,,,,,,,"2010-10-18 04:33:49",https://creativecommons.org/publicdomain/zero/1.0/,,,23a86054-12e6-4afc-85a2-03de8197355b,https://library.big-bee.net/portal/collections/individual/index.php?occid=124941
132335,KU,SEMC,,903ba65e-8420-4ffd-9dac-1215e88eb98b,PreservedSpecimen,1ec3840a-1ed6-11e3-bfac-90b11c41863e,217346,,,Animalia,Arthropoda,Insecta,Hymenoptera,Andrenidae,"Perdita (Perdita) xanthochroa",20295,"Timberlake, 1960",Perdita,,xanthochroa,,,,,Species,"Timberlake, P",,,,,,Paratype,"Michener, Charles",,1950-06-24,,1950,6,24,175,,06/24/1950,,,,,,"US.UT.MichenerC1950.06.24 002",,,,,"Sphaeralcea ambigua",,,adult,unknown,,,"Pinned - 1",,Nearctic,,,,"United States",,Utah,Uintah,,"Vernal, 10 mi W",,40.4556,-109.7181,,,,,,,,,,,,,,,,,,"2010-10-18 04:41:08",https://creativecommons.org/publicdomain/zero/1.0/,,,54af3348-cfe5-4199-98de-c81e399a4667,https://library.big-bee.net/portal/collections/individual/index.php?occid=132335
